policy,contacted,captured_churners,precision_at_k,capture_rate,lift,contact_cost,retention_value,save_rate,expected_saved_customers,campaign_cost,expected_retention_value,net_value,roi,break_even_save_rate
top_1pct,489,24,0.049079754601226995,0.09523809523809523,9.521472392638037,1.0,50.0,0.05,1.2000000000000002,489.0,60.00000000000001,-429.0,-0.8773006134969326,0.4075
top_1pct,489,24,0.049079754601226995,0.09523809523809523,9.521472392638037,1.0,50.0,0.1,2.4000000000000004,489.0,120.00000000000001,-369.0,-0.754601226993865,0.4075
top_1pct,489,24,0.049079754601226995,0.09523809523809523,9.521472392638037,1.0,50.0,0.2,4.800000000000001,489.0,240.00000000000003,-248.99999999999997,-0.50920245398773,0.4075
top_1pct,489,24,0.049079754601226995,0.09523809523809523,9.521472392638037,1.0,100.0,0.05,1.2000000000000002,489.0,120.00000000000001,-369.0,-0.754601226993865,0.20375
top_1pct,489,24,0.049079754601226995,0.09523809523809523,9.521472392638037,1.0,100.0,0.1,2.4000000000000004,489.0,240.00000000000003,-248.99999999999997,-0.50920245398773,0.20375
top_1pct,489,24,0.049079754601226995,0.09523809523809523,9.521472392638037,1.0,100.0,0.2,4.800000000000001,489.0,480.00000000000006,-8.999999999999943,-0.018404907975460006,0.20375
top_1pct,489,24,0.049079754601226995,0.09523809523809523,9.521472392638037,1.0,200.0,0.05,1.2000000000000002,489.0,240.00000000000003,-248.99999999999997,-0.50920245398773,0.101875
top_1pct,489,24,0.049079754601226995,0.09523809523809523,9.521472392638037,1.0,200.0,0.1,2.4000000000000004,489.0,480.00000000000006,-8.999999999999943,-0.018404907975460006,0.101875
top_1pct,489,24,0.049079754601226995,0.09523809523809523,9.521472392638037,1.0,200.0,0.2,4.800000000000001,489.0,960.0000000000001,471.0000000000001,0.96319018404908,0.101875
top_1pct,489,24,0.049079754601226995,0.09523809523809523,9.521472392638037,3.0,50.0,0.05,1.2000000000000002,1467.0,60.00000000000001,-1407.0,-0.9591002044989775,1.2225
top_1pct,489,24,0.049079754601226995,0.09523809523809523,9.521472392638037,3.0,50.0,0.1,2.4000000000000004,1467.0,120.00000000000001,-1347.0,-0.918200408997955,1.2225
