policy,contacted,captured_churners,precision_at_k,capture_rate,lift,contact_cost,retention_value,save_rate,expected_saved_customers,campaign_cost,expected_retention_value,net_value,roi,break_even_save_rate
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,1.0,50.0,0.05,1.1,489.0,55.00000000000001,-434.0,-0.8875255623721882,0.4445454545454545
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,1.0,50.0,0.1,2.2,489.0,110.00000000000001,-379.0,-0.7750511247443763,0.4445454545454545
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,1.0,50.0,0.2,4.4,489.0,220.00000000000003,-269.0,-0.5501022494887525,0.4445454545454545
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,1.0,100.0,0.05,1.1,489.0,110.00000000000001,-379.0,-0.7750511247443763,0.22227272727272726
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,1.0,100.0,0.1,2.2,489.0,220.00000000000003,-269.0,-0.5501022494887525,0.22227272727272726
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,1.0,100.0,0.2,4.4,489.0,440.00000000000006,-48.99999999999994,-0.100204498977505,0.22227272727272726
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,1.0,200.0,0.05,1.1,489.0,220.00000000000003,-269.0,-0.5501022494887525,0.11113636363636363
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,1.0,200.0,0.1,2.2,489.0,440.00000000000006,-48.99999999999994,-0.100204498977505,0.11113636363636363
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,1.0,200.0,0.2,4.4,489.0,880.0000000000001,391.0000000000001,0.79959100204499,0.11113636363636363
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,3.0,50.0,0.05,1.1,1467.0,55.00000000000001,-1412.0,-0.9625085207907293,1.3336363636363637
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,3.0,50.0,0.1,2.2,1467.0,110.00000000000001,-1357.0,-0.9250170415814588,1.3336363636363637
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,3.0,50.0,0.2,4.4,1467.0,220.00000000000003,-1247.0,-0.8500340831629175,1.3336363636363637
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,3.0,100.0,0.05,1.1,1467.0,110.00000000000001,-1357.0,-0.9250170415814588,0.6668181818181819
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,3.0,100.0,0.1,2.2,1467.0,220.00000000000003,-1247.0,-0.8500340831629175,0.6668181818181819
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,3.0,100.0,0.2,4.4,1467.0,440.00000000000006,-1027.0,-0.700068166325835,0.6668181818181819
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,3.0,200.0,0.05,1.1,1467.0,220.00000000000003,-1247.0,-0.8500340831629175,0.33340909090909093
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,3.0,200.0,0.1,2.2,1467.0,440.00000000000006,-1027.0,-0.700068166325835,0.33340909090909093
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,3.0,200.0,0.2,4.4,1467.0,880.0000000000001,-586.9999999999999,-0.40013633265167,0.33340909090909093
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,5.0,50.0,0.05,1.1,2445.0,55.00000000000001,-2390.0,-0.9775051124744376,2.2227272727272727
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,5.0,50.0,0.1,2.2,2445.0,110.00000000000001,-2335.0,-0.9550102249488752,2.2227272727272727
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,5.0,50.0,0.2,4.4,2445.0,220.00000000000003,-2225.0,-0.9100204498977505,2.2227272727272727
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,5.0,100.0,0.05,1.1,2445.0,110.00000000000001,-2335.0,-0.9550102249488752,1.1113636363636363
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,5.0,100.0,0.1,2.2,2445.0,220.00000000000003,-2225.0,-0.9100204498977505,1.1113636363636363
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,5.0,100.0,0.2,4.4,2445.0,440.00000000000006,-2005.0,-0.820040899795501,1.1113636363636363
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,5.0,200.0,0.05,1.1,2445.0,220.00000000000003,-2225.0,-0.9100204498977505,0.5556818181818182
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,5.0,200.0,0.1,2.2,2445.0,440.00000000000006,-2005.0,-0.820040899795501,0.5556818181818182
top_1pct,489,22,0.044989775051124746,0.0873015873015873,8.7280163599182,5.0,200.0,0.2,4.4,2445.0,880.0000000000001,-1565.0,-0.6400817995910021,0.5556818181818182
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,1.0,50.0,0.05,1.9500000000000002,978.0,97.50000000000001,-880.5,-0.9003067484662577,0.5015384615384615
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,1.0,50.0,0.1,3.9000000000000004,978.0,195.00000000000003,-783.0,-0.8006134969325154,0.5015384615384615
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,1.0,50.0,0.2,7.800000000000001,978.0,390.00000000000006,-588.0,-0.6012269938650306,0.5015384615384615
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,1.0,100.0,0.05,1.9500000000000002,978.0,195.00000000000003,-783.0,-0.8006134969325154,0.25076923076923074
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,1.0,100.0,0.1,3.9000000000000004,978.0,390.00000000000006,-588.0,-0.6012269938650306,0.25076923076923074
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,1.0,100.0,0.2,7.800000000000001,978.0,780.0000000000001,-197.9999999999999,-0.20245398773006124,0.25076923076923074
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,1.0,200.0,0.05,1.9500000000000002,978.0,390.00000000000006,-588.0,-0.6012269938650306,0.12538461538461537
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,1.0,200.0,0.1,3.9000000000000004,978.0,780.0000000000001,-197.9999999999999,-0.20245398773006124,0.12538461538461537
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,1.0,200.0,0.2,7.800000000000001,978.0,1560.0000000000002,582.0000000000002,0.5950920245398775,0.12538461538461537
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,3.0,50.0,0.05,1.9500000000000002,2934.0,97.50000000000001,-2836.5,-0.9667689161554193,1.5046153846153847
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,3.0,50.0,0.1,3.9000000000000004,2934.0,195.00000000000003,-2739.0,-0.9335378323108384,1.5046153846153847
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,3.0,50.0,0.2,7.800000000000001,2934.0,390.00000000000006,-2544.0,-0.8670756646216768,1.5046153846153847
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,3.0,100.0,0.05,1.9500000000000002,2934.0,195.00000000000003,-2739.0,-0.9335378323108384,0.7523076923076923
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,3.0,100.0,0.1,3.9000000000000004,2934.0,390.00000000000006,-2544.0,-0.8670756646216768,0.7523076923076923
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,3.0,100.0,0.2,7.800000000000001,2934.0,780.0000000000001,-2154.0,-0.7341513292433538,0.7523076923076923
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,3.0,200.0,0.05,1.9500000000000002,2934.0,390.00000000000006,-2544.0,-0.8670756646216768,0.37615384615384617
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,3.0,200.0,0.1,3.9000000000000004,2934.0,780.0000000000001,-2154.0,-0.7341513292433538,0.37615384615384617
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,3.0,200.0,0.2,7.800000000000001,2934.0,1560.0000000000002,-1373.9999999999998,-0.4683026584867075,0.37615384615384617
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,5.0,50.0,0.05,1.9500000000000002,4890.0,97.50000000000001,-4792.5,-0.9800613496932515,2.5076923076923077
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,5.0,50.0,0.1,3.9000000000000004,4890.0,195.00000000000003,-4695.0,-0.9601226993865031,2.5076923076923077
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,5.0,50.0,0.2,7.800000000000001,4890.0,390.00000000000006,-4500.0,-0.9202453987730062,2.5076923076923077
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,5.0,100.0,0.05,1.9500000000000002,4890.0,195.00000000000003,-4695.0,-0.9601226993865031,1.2538461538461538
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,5.0,100.0,0.1,3.9000000000000004,4890.0,390.00000000000006,-4500.0,-0.9202453987730062,1.2538461538461538
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,5.0,100.0,0.2,7.800000000000001,4890.0,780.0000000000001,-4110.0,-0.8404907975460123,1.2538461538461538
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,5.0,200.0,0.05,1.9500000000000002,4890.0,390.00000000000006,-4500.0,-0.9202453987730062,0.6269230769230769
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,5.0,200.0,0.1,3.9000000000000004,4890.0,780.0000000000001,-4110.0,-0.8404907975460123,0.6269230769230769
top_2pct,978,39,0.03987730061349693,0.15476190476190477,7.736196319018405,5.0,200.0,0.2,7.800000000000001,4890.0,1560.0000000000002,-3330.0,-0.6809815950920245,0.6269230769230769
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,1.0,50.0,0.05,3.4000000000000004,2444.0,170.00000000000003,-2274.0,-0.9304418985270049,0.7188235294117648
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,1.0,50.0,0.1,6.800000000000001,2444.0,340.00000000000006,-2104.0,-0.8608837970540099,0.7188235294117648
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,1.0,50.0,0.2,13.600000000000001,2444.0,680.0000000000001,-1764.0,-0.7217675941080196,0.7188235294117648
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,1.0,100.0,0.05,3.4000000000000004,2444.0,340.00000000000006,-2104.0,-0.8608837970540099,0.3594117647058824
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,1.0,100.0,0.1,6.800000000000001,2444.0,680.0000000000001,-1764.0,-0.7217675941080196,0.3594117647058824
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,1.0,100.0,0.2,13.600000000000001,2444.0,1360.0000000000002,-1083.9999999999998,-0.4435351882160392,0.3594117647058824
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,1.0,200.0,0.05,3.4000000000000004,2444.0,680.0000000000001,-1764.0,-0.7217675941080196,0.1797058823529412
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,1.0,200.0,0.1,6.800000000000001,2444.0,1360.0000000000002,-1083.9999999999998,-0.4435351882160392,0.1797058823529412
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,1.0,200.0,0.2,13.600000000000001,2444.0,2720.0000000000005,276.00000000000045,0.11292962356792163,0.1797058823529412
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,3.0,50.0,0.05,3.4000000000000004,7332.0,170.00000000000003,-7162.0,-0.9768139661756683,2.156470588235294
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,3.0,50.0,0.1,6.800000000000001,7332.0,340.00000000000006,-6992.0,-0.9536279323513366,2.156470588235294
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,3.0,50.0,0.2,13.600000000000001,7332.0,680.0000000000001,-6652.0,-0.9072558647026732,2.156470588235294
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,3.0,100.0,0.05,3.4000000000000004,7332.0,340.00000000000006,-6992.0,-0.9536279323513366,1.078235294117647
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,3.0,100.0,0.1,6.800000000000001,7332.0,680.0000000000001,-6652.0,-0.9072558647026732,1.078235294117647
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,3.0,100.0,0.2,13.600000000000001,7332.0,1360.0000000000002,-5972.0,-0.8145117294053464,1.078235294117647
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,3.0,200.0,0.05,3.4000000000000004,7332.0,680.0000000000001,-6652.0,-0.9072558647026732,0.5391176470588235
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,3.0,200.0,0.1,6.800000000000001,7332.0,1360.0000000000002,-5972.0,-0.8145117294053464,0.5391176470588235
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,3.0,200.0,0.2,13.600000000000001,7332.0,2720.0000000000005,-4612.0,-0.6290234588106929,0.5391176470588235
top_5pct,2444,68,0.027823240589198037,0.2698412698412698,5.397708674304419,5.0,50.0,0.05,3.4000000000000004,12220.0,170.00000000000003,-12050.0,-0.986088379705401,3.5941176470588236
