,fact_stress_calidad_lag_lag_2m,fact_stress_calidad_lag_roll_3m,fact_dias_retraso_pago_roll_3m,fact_importe_total,fact_importe_total_roll_3m,red_indice_calidad_global_lag_2m,fact_dias_retraso_pago_lag_2m,fact_dias_retraso_pago_lag_1m,fact_dias_retraso_pago,red_indice_calidad_global_lag_3m,fact_cargo_base_lag_2m,fact_impago_flag_roll_3m,fact_cargo_base_lag_3m,fact_num_lineas_lag_1m,fact_cargo_base_lag_1m,red_indice_calidad_global_roll_3m,red_cobertura_5g_pct_lag_2m,red_poblacion_zona_lag_3m,fact_impago_flag_lag_2m,red_poblacion_zona_lag_2m,fact_importe_total_lag_3m,fact_stress_calidad_lag_lag_1m,fact_descuento_aplicado_lag_2m,fact_descuento_aplicado_roll_3m,red_indice_calidad_global_lag_1m,fact_num_lineas_roll_3m,fact_num_lineas
fact_stress_calidad_lag_lag_2m,1.0,0.9164025010398089,0.04033338504916133,-0.31753357250610703,-0.3165962479604987,-0.7937584353340749,0.026840153570031628,0.020109503914728058,0.022964254163810666,-0.9894412354527159,-0.3064165862284545,0.030437575335564362,-0.35093012955150665,-0.27935838959297293,-0.3064165862284545,-0.7993904922400067,-0.702221616539567,-0.7243630583201975,0.019448868061960833,-0.6331199940476029,-0.36193572627426623,0.8028975444359002,-0.11008850867183209,-0.11313698911773587,-0.7955138415721433,-0.27935838959297293,-0.27935838959297293
fact_stress_calidad_lag_roll_3m,0.9164025010398089,1.0,0.045070853702249704,-0.3113952247135721,-0.31145529975872344,-0.9607809784359693,0.025671862897251548,0.02627254252749219,0.026633822185476632,-0.9827260903755572,-0.351265687459775,0.03358761918075304,-0.3537756521629886,-0.31200196571142313,-0.34323596783200677,-0.7640987591425078,-0.874126848240049,-0.7279763720338599,0.0183090100050786,-0.7239678717797433,-0.3642616257205384,0.9340943041811273,-0.1268305544964276,-0.11148587121334776,-0.914874806115638,-0.27722748503389316,-0.27722748503389316
fact_dias_retraso_pago_roll_3m,0.04033338504916133,0.045070853702249704,1.0,-0.017532077892872745,-0.017510225238107552,-0.0440720582817442,0.5780758418117266,0.5761119761182404,0.5993329502116271,-0.04554444192473593,-0.017991661419837754,0.43112767753990255,-0.018172821207055292,-0.0070194936994069,-0.017582010399341916,-0.03884316872292425,-0.03994578234788427,-0.034657657024618344,0.25007747506061856,-0.03389796632179306,-0.018721632782000466,0.04006996330889525,-0.007204556948161547,-0.007503932761461523,-0.042289826414973856,-0.006546566997855636,-0.006546566997855636
fact_importe_total,-0.31753357250610703,-0.3113952247135721,-0.017532077892872745,1.0,0.9985268627390194,0.3524723823560036,-0.010212577581029962,-0.010283086828763284,-0.010911308856844257,0.35542504153822285,0.9840646656984026,-0.021001667466944002,0.9840156649590188,0.701852741577095,0.9841339749051208,0.3509481925335461,0.28091923370394845,0.36502445662900135,-0.011744777323307348,0.36485997824619143,0.9928519830438831,-0.31533194344255683,0.22988459292638647,0.23113861642200945,0.35079462092759334,0.7016680136130908,0.7016680136130908
fact_importe_total_roll_3m,-0.3165962479604987,-0.31145529975872344,-0.017510225238107552,0.9985268627390194,1.0,0.35366801380993046,-0.010181389195946237,-0.010212174072832638,-0.010972041988316616,0.35644422521239105,0.9854469673506387,-0.02095034048956339,0.9853873950779758,0.7027145838177105,0.985496266622517,0.3521640285753067,0.2834898884762921,0.36530038814398935,-0.01182429970333983,0.3650469716222781,0.9960664632756931,-0.3157941909724153,0.22641331288388192,0.23145553749866674,0.351956409695976,0.702501865535992,0.702501865535992
red_indice_calidad_global_lag_2m,-0.7937584353340749,-0.9607809784359693,-0.0440720582817442,0.3524723823560036,0.35366801380993046,1.0,-0.022800488087458246,-0.026412614090917868,-0.027174114732510492,0.9805118701638909,0.34293649911005925,-0.033078777539626764,0.3454047157683803,0.3119625089044284,0.34293649911005925,0.9933794130266699,0.9120581115708396,0.7410689626427432,-0.015714971031677204,0.7380286433493862,0.3555629050619197,-0.9896238264699203,0.12470316954196409,0.12776625751598533,0.9811052256946713,0.3119625089044284,0.3119625089044284
fact_dias_retraso_pago_lag_2m,0.026840153570031628,0.025671862897251548,0.5780758418117266,-0.010212577581029962,-0.010181389195946237,-0.022800488087458246,1.0,0.000560273966555426,0.0014252577566130139,-0.025330699322925785,-0.009993287406207287,0.24842213297043245,-0.009935170390306359,-0.0038943399034421307,-0.009993287406207287,-0.023068595720753954,-0.020512666642043577,-0.018717654224428507,0.43217481896716325,-0.018356298489459338,-0.010028114158617528,0.022812912220545302,-0.004787588672755467,-0.004474671069623958,-0.023397133580302203,-0.0038943399034421307,-0.0038943399034421307
fact_dias_retraso_pago_lag_1m,0.020109503914728058,0.02627254252749219,0.5761119761182404,-0.010283086828763284,-0.010212174072832638,-0.026412614090917868,0.000560273966555426,1.0,0.0007015617681029267,-0.026021130256491026,-0.01002268471794362,0.25241963185706434,-0.010391517513052983,-0.0037709698378511555,-0.010070875673855489,-0.024539468331072657,-0.02457030484472345,-0.01992122433730098,0.0001894660255087812,-0.01921656041914323,-0.010676621554069704,0.027844463542069854,-0.003985589525212231,-0.004127832914763871,-0.023866327834681882,-0.0037709698378511555,-0.0037709698378511555
fact_dias_retraso_pago,0.022964254163810666,0.026633822185476632,0.5993329502116271,-0.010911308856844257,-0.010972041988316616,-0.027174114732510492,0.0014252577566130139,0.0007015617681029267,1.0,-0.027578784413034962,-0.011170229738859545,0.25972174230850203,-0.011169600605747683,-0.004784445218720646,-0.010805022630116031,-0.02546551922259631,-0.024149287609026036,-0.021430794899517002,0.0010993601417191923,-0.021184254622088613,-0.011745066401392215,0.021426283706237483,-0.0037129941433691996,-0.0044340194052849505,-0.027533413302231004,-0.004561285596407329,-0.004561285596407329
red_indice_calidad_global_lag_3m,-0.9894412354527159,-0.9827260903755572,-0.04554444192473593,0.35542504153822285,0.35644422521239105,0.9805118701638909,-0.025330699322925785,-0.026021130256491026,-0.027578784413034962,1.0,0.34488262270691206,-0.034325766585747056,0.34488262270691206,0.31431069161540626,0.34488262270691206,0.9857899796745471,0.9136021721166289,0.7428224551428984,-0.01832477277896646,0.7428224551428984,0.3557190500013438,-0.9702408119740555,0.12511795317310292,0.12833700179553942,0.9797194792963227,0.31431069161540626,0.31431069161540626
fact_cargo_base_lag_2m,-0.3064165862284545,-0.351265687459775,-0.017991661419837754,0.9840646656984026,0.9854469673506387,0.34293649911005925,-0.009993287406207287,-0.01002268471794362,-0.011170229738859545,0.34488262270691206,1.0,-0.022892136879451682,1.0,0.7076543603841327,1.0,0.34617318503459543,0.2752338582957163,0.35863599382111044,-0.012024202929975228,0.3586298530832521,0.9841457881443305,-0.3489187814415667,0.36873375593280977,0.3775802356453328,0.3443207400178398,0.7076543603841327,0.7076543603841327
fact_impago_flag_roll_3m,0.030437575335564362,0.03358761918075304,0.43112767753990255,-0.021001667466944002,-0.02095034048956339,-0.033078777539626764,0.24842213297043245,0.25241963185706434,0.25972174230850203,-0.034325766585747056,-0.022892136879451682,1.0,-0.023382322166760255,-0.0025536255795973167,-0.022446627316982003,-0.0289776262169902,-0.031802410791547546,-0.025463290317365522,0.5724844883616329,-0.02484709624122792,-0.022921754492769248,0.030227697218752896,-0.011624582022693794,-0.01172991075535535,-0.03218976514109834,-0.0022022200748807643,-0.0022022200748807643
fact_cargo_base_lag_3m,-0.35093012955150665,-0.3537756521629886,-0.018172821207055292,0.9840156649590188,0.9853873950779758,0.3454047157683803,-0.009935170390306359,-0.010391517513052983,-0.011169600605747683,0.34488262270691206,1.0,-0.023382322166760255,1.0,0.7078185343246117,1.0,0.3481125375364572,0.2815928580269721,0.35863599382111044,-0.012232355033630776,0.35863599382111044,0.9841457881443305,-0.35142720247946796,0.36867735939422785,0.3775333373198809,0.3459668786918064,0.7078185343246117,0.7078185343246117
fact_num_lineas_lag_1m,-0.27935838959297293,-0.31200196571142313,-0.0070194936994069,0.701852741577095,0.7027145838177105,0.3119625089044284,-0.0038943399034421307,-0.0037709698378511555,-0.004784445218720646,0.31431069161540626,0.7076543603841327,-0.0025536255795973167,0.7078185343246117,1.0,0.707500331657198,0.3127201193287484,0.25351713472439874,0.34032359621552494,-0.0010499515118580988,0.3401535082109259,0.7019404323670765,-0.27937203015102086,0.2381570463365777,0.24370014706945486,0.3105361385876448,1.0,1.0
fact_cargo_base_lag_1m,-0.3064165862284545,-0.34323596783200677,-0.017582010399341916,0.9841339749051208,0.985496266622517,0.34293649911005925,-0.009993287406207287,-0.010070875673855489,-0.010805022630116031,0.34488262270691206,1.0,-0.022446627316982003,1.0,0.707500331657198,1.0,0.34420454162058034,0.2752338582957163,0.35863599382111044,-0.012024202929975228,0.3586298530832521,0.9841457881443305,-0.30706916200487394,0.36873375593280977,0.37751567303114353,0.3418247495570591,0.707500331657198,0.707500331657198
red_indice_calidad_global_roll_3m,-0.7993904922400067,-0.7640987591425078,-0.03884316872292425,0.3509481925335461,0.3521640285753067,0.9933794130266699,-0.023068595720753954,-0.024539468331072657,-0.02546551922259631,0.9857899796745471,0.34617318503459543,-0.0289776262169902,0.3481125375364572,0.3127201193287484,0.34420454162058034,1.0,0.9175210501998635,0.7461001222336325,-0.016260046037067245,0.7427873275159326,0.35796911537155873,-0.8151603753531341,0.12587430252995296,0.12750510628719902,0.9938784948759098,0.31008938294667526,0.31008938294667526
