feature_original,abs_importance,max_abs_importance,n_transformed_features,rank
fact_zona_id,22.444853747136147,1.5712458141592633,30,1
zona_id,14.187824007621842,1.348160693567641,30,2
soporte_canal_principal,1.6981979957395361,0.9016390704406021,7,3
tipo_zona,1.4054220904943602,0.6397334799187538,3,4
red_tipo_zona,1.3518373272022521,0.5064683968990568,6,5
fact_stress_calidad_lag_lag_2m,1.2427155419017704,1.1882522916413294,2,6
region,1.0545275502580105,0.4053614063010187,5,7
red_region,1.0545275502580105,0.4053614063010187,5,8
fact_importe_total_lag_1m,1.0059307154491035,0.994918526967898,2,9
fact_importe_total,0.9742638161209127,0.9742638161209127,1,10
fact_cargo_base_lag_2m,0.9691835758568368,0.9147203255963959,2,11
fact_stress_calidad_lag_roll_3m,0.9370170010176766,0.9370170010176766,1,12
red_indice_calidad_global_lag_2m,0.8586631688670641,0.8041999186066232,2,13
red_cobertura_5g_pct_lag_2m,0.782220729246857,0.7277574789864162,2,14
soporte_motivo_principal,0.7156454555042785,0.21773894018657644,8,15
fact_dias_retraso_pago_roll_3m,0.7096335625149475,0.7096335625149475,1,16
fact_importe_total_lag_3m,0.6711678844800694,0.6308691967499853,2,17
estado_civil,0.5974573268598147,0.23575109810151185,4,18
red_poblacion_zona_lag_2m,0.5663985620929881,0.5119353118325471,2,19
fact_num_lineas_lag_1m,0.5449469186430403,0.5339347301618348,2,20
fact_cargo_base_lag_3m,0.519828400496423,0.47952971276633893,2,21
red_cobertura_5g_pct_roll_3m,0.5124181230716061,0.5124181230716061,1,22
fact_stress_calidad_lag_lag_1m,0.5103290884871253,0.4993169000059198,2,23
fact_importe_total_roll_3m,0.5048549988882749,0.5048549988882749,1,24
red_indice_calidad_global_lag_3m,0.4930778600537338,0.45277917232364967,2,25
red_cobertura_4g_pct_roll_3m,0.48353952647767395,0.48353952647767395,1,26
fact_impago_flag_roll_3m,0.48089565681700547,0.48089565681700547,1,27
soporte_satisfaccion_min_roll_3m,0.47287330844595354,0.4607875027731889,2,28
red_cobertura_5g_pct_lag_3m,0.45915012601795413,0.41885143828787,2,29
soporte_impago_mes_roll_3m,0.4570102095821553,0.4570102095821553,1,30
fact_dias_retraso_pago_lag_2m,0.4539636664780523,0.3995004162176114,2,31
red_poblacion_zona_lag_3m,0.44995122767536283,0.4096525399452787,2,32
soporte_satisfaccion_media_roll_3m,0.43890644371779164,0.426820638045027,2,33
red_tasa_cortes_pct_roll_3m,0.42691269047946084,0.42691269047946084,1,34
fact_dias_retraso_pago_lag_1m,0.41624144841649374,0.4052292599352882,2,35
red_indice_calidad_global_lag_1m,0.392984415905133,0.38197222742392745,2,36
fact_cargo_base_lag_1m,0.3789613698908387,0.3679491814096331,2,37
fact_importe_total_lag_2m,0.37775669154270947,0.32329344128226856,2,38
fact_dias_retraso_pago,0.370981014588751,0.370981014588751,1,39
soporte_dias_retraso_media_roll_3m,0.36227948387547065,0.350193678202706,2,40
soporte_satisfaccion_min,0.3565838810852083,0.34449807541244365,2,41
red_poblacion_zona_lag_1m,0.3536753789747916,0.34266319049358607,2,42
red_velocidad_media_mbps_roll_3m,0.34970364027890444,0.34970364027890444,1,43
antiguedad_meses,0.34092747106027343,0.34092747106027343,1,44
red_incidencia_masiva_lag_2m,0.33770186374965094,0.28323861348921003,2,45
red_incidencia_masiva_lag_3m,0.3278696702366709,0.2875709825065868,2,46
red_cobertura_5g_pct,0.3259497723943112,0.3259497723943112,1,47
fact_stress_calidad_lag,0.31965760839675383,0.31965760839675383,1,48
poblacion_zona,0.3098341136263843,0.3098341136263843,1,49
red_poblacion_zona,0.3098341136263843,0.3098341136263843,1,50
red_poblacion_zona_roll_3m,0.3098341136263843,0.3098341136263843,1,51
fact_descuento_aplicado_roll_3m,0.30813254101372145,0.30813254101372145,1,52
soporte_impago_mes,0.3057652426591602,0.3057652426591602,1,53
red_cobertura_4g_pct_lag_3m,0.3042068436156589,0.2639081558855748,2,54
red_tasa_cortes_pct_lag_2m,0.30172380285426714,0.24726055259382623,2,55
soporte_satisfaccion_media,0.3003819566313893,0.28829615095862465,2,56
fact_descuento_aplicado_lag_2m,0.298475395802011,0.24401214554157008,2,57
red_cobertura_4g_pct_lag_1m,0.2862293282072143,0.27521713972600875,2,58
soporte_satisfaccion_min_lag_2m,0.2712138565672992,0.2514842151373789,2,59
soporte_duracion_max_roll_3m,0.2695162879118434,0.2574304822390788,2,60
fact_impago_flag_lag_2m,0.2682114592406429,0.21374820898020197,2,61
sexo,0.26660521038959817,0.12419564951903506,3,62
red_indice_calidad_global_roll_3m,0.26101132140754213,0.26101132140754213,1,63
soporte_duracion_media_roll_3m,0.2572664421638156,0.24518063649105096,2,64
red_velocidad_media_mbps_lag_1m,0.24906031954909913,0.23804813106789358,2,65
zona_id_was_invalid,0.2447000039134803,0.2447000039134803,1,66
soporte_satisfaccion_media_lag_2m,0.24048235890944,0.22075271747951972,2,67
fact_consumo_extra_roll_3m,0.2400376294819725,0.2400376294819725,1,68
fact_incidencia_masiva_lag_lag_2m,0.23913603419542442,0.18467278393498351,2,69
ingreso_estimado,0.237839422366888,0.237839422366888,1,70
soporte_resuelto_rate_roll_3m,0.22876657231604186,0.2166807666432772,2,71
soporte_duracion_max,0.22554977458950137,0.21346396891673672,2,72
soporte_duracion_media,0.21765283986956788,0.20556703419680322,2,73
red_incidencia_masiva_lag_1m,0.2147331961279508,0.20372100764674525,2,74
encuestas_nps_media_roll_3m,0.21276469802550269,0.21276469802550269,1,75
soporte_dias_retraso_media,0.2092464489643606,0.19716064329159594,2,76
red_tasa_cortes_pct,0.2051062983948112,0.2051062983948112,1,77
fact_incidencia_masiva_lag_lag_1m,0.20390095965189772,0.19288877117069217,2,78
red_tasa_cortes_pct_lag_3m,0.19976662737696826,0.15946793964688416,2,79
soporte_dias_retraso_media_lag_1m,0.19906119421464444,0.1844440447779827,2,80
soporte_contactos_roll_3m,0.19701312616708339,0.19701312616708339,1,81
red_cobertura_4g_pct,0.19684076708979975,0.19684076708979975,1,82
fact_num_lineas,0.1936552917125796,0.1936552917125796,1,83
fact_num_lineas_roll_3m,0.1936552917125796,0.1936552917125796,1,84
num_lineas,0.1936552917125796,0.1936552917125796,1,85
fact_descuento_aplicado_lag_3m,0.1918709163564679,0.1515722286263838,2,86
fact_descuento_aplicado_lag_1m,0.18932596291433515,0.1783137744331296,2,87
soporte_stress_calidad_media_roll_3m,0.18897644951243164,0.176890643839667,2,88
soporte_duracion_max_lag_2m,0.18723149662005228,0.167501855190132,2,89
fact_consumo_extra_lag_2m,0.1842096692328629,0.12974641897242198,2,90
red_cobertura_4g_pct_was_missing_roll_3m,0.18419968657758493,0.18419968657758493,1,91
red_velocidad_media_mbps_lag_2m,0.1812633759168805,0.12680012565643958,2,92
fact_tipo_plan_was_missing_roll_3m,0.17320368412331372,0.17320368412331372,1,93
red_velocidad_media_mbps,0.17293127107773193,0.17293127107773193,1,94
soporte_impago_mes_lag_2m,0.1713054022201254,0.1713054022201254,1,95
soporte_impago_mes_lag_1m,0.16863065994082166,0.16863065994082166,1,96
encuestas_stress_medio_roll_3m,0.16424912769764144,0.16236255551520562,2,97
soporte_no_resueltos_roll_3m,0.1566815978569839,0.1566815978569839,1,98
red_latencia_ms_lag_2m,0.15332460998334135,0.09886135972290046,2,99
fact_cargo_base,0.15124763481842107,0.15124763481842107,1,100
fact_cargo_base_roll_3m,0.15124763481842107,0.15124763481842107,1,101
soporte_dias_retraso_media_lag_2m,0.150525821642948,0.13079618021302772,2,102
soporte_satisfaccion_min_lag_1m,0.15008947651608198,0.13547232707942025,2,103
fact_tipo_plan,0.14753274372721178,0.0787576670469959,3,104
tipo_plan,0.14753274372721178,0.0787576670469959,3,105
red_tasa_cortes_pct_lag_1m,0.1458554718270617,0.13484328334585616,2,106
red_cobertura_4g_pct_was_missing_lag_2m,0.1421579102753216,0.08769466001488067,2,107
soporte_duracion_media_lag_2m,0.1413363382571129,0.1216066968271926,2,108
red_cobertura_4g_pct_lag_2m,0.13960400781956978,0.08514075755912888,2,109
fact_incidencia_masiva_lag_roll_3m,0.13943011557178717,0.13943011557178717,1,110
fact_tipo_plan_was_missing_lag_2m,0.13824130240588683,0.08377805214544592,2,111
soporte_stress_calidad_media,0.13611810747977757,0.12403230180701293,2,112
fact_incidencia_masiva_lag,0.1357435934111811,0.1357435934111811,1,113
soporte_motivo_missing_rate_roll_3m,0.13552150844463506,0.12343570277187042,2,114
fact_consumo_extra,0.1345507568953284,0.1345507568953284,1,115
red_cobertura_5g_pct_was_missing_lag_1m,0.13266909651727063,0.12165690803606506,2,116
soporte_resuelto_rate_lag_2m,0.13249876175686953,0.11276912032694925,2,117
fact_tipo_plan_was_missing_lag_1m,0.13135660933085205,0.1203444208496465,2,118
tipo_dispositivo,0.13082081175548557,0.06927797526923545,3,119
fact_impago_flag_lag_1m,0.1252997630271767,0.11428757454597115,2,120
encuestas_incongruentes_rate_roll_3m,0.12383832660594637,0.12195175442351057,2,121
fact_consumo_extra_lag_3m,0.12311718982535469,0.08281850209527059,2,122
red_cobertura_4g_pct_was_missing,0.12194856953986298,0.12194856953986298,1,123
fact_tipo_plan_was_missing_lag_3m,0.12010341556808571,0.07980472783800162,2,124
encuestas_nps_media_lag_1m,0.11910475294851909,0.11910475294851909,1,125
encuestas_puntuacion_media_roll_3m,0.11855817442722694,0.11667160224479113,2,126
soporte_satisfaccion_media_lag_1m,0.11786762348339798,0.10325047404673626,2,127
encuestas_n_lag_2m,0.11739178382803173,0.11739178382803173,1,128
red_cobertura_4g_pct_was_missing_lag_1m,0.11569521538384829,0.10468302690264272,2,129
fact_tipo_plan_was_missing,0.11519608538351712,0.11519608538351712,1,130
soporte_resuelto_rate,0.1139216026195164,0.10183579694675174,2,131
fact_num_lineas_lag_2m,0.10902558585870745,0.05456233559826653,2,132
encuestas_n_lag_3m,0.1071071705045236,0.1071071705045236,1,133
soporte_resuelto_rate_lag_1m,0.10187905100904954,0.08726190157238782,2,134
soporte_no_resueltos_lag_2m,0.09940193324085095,0.09940193324085095,1,135
fact_dias_retraso_pago_lag_3m,0.09934803200061018,0.05904934427052609,2,136
red_cobertura_5g_pct_was_missing_lag_3m,0.098681504708277,0.05838281697819289,2,137
soporte_duracion_media_lag_3m,0.09665684786467593,0.09154520293931452,2,138
red_cobertura_5g_pct_was_missing_lag_2m,0.09543368586539717,0.05446325026044091,2,139
soporte_contactos_lag_2m,0.09536137612740087,0.09536137612740087,1,140
red_cobertura_5g_pct_was_missing_roll_3m,0.09105798619751317,0.09105798619751317,1,141
encuestas_stress_medio_lag_1m,0.09057055838932154,0.09030480517278103,2,142
encuestas_nps_media_lag_3m,0.09020615769864056,0.09020615769864056,1,143
encuestas_incongruentes_rate_lag_2m,0.08993424945388925,0.08807895008699854,2,144
fact_consumo_extra_lag_1m,0.08873875833267184,0.07772656985146627,2,145
red_cobertura_5g_pct_was_missing,0.08753045278558408,0.08753045278558408,1,146
fact_impago_flag_lag_3m,0.08682736450473053,0.046528676774646435,2,147
fact_importe_total_was_missing_roll_3m,0.08474656319482039,0.08474656319482039,1,148
encuestas_nps_media_lag_2m,0.08394704242389922,0.08394704242389922,1,149
encuestas_incongruentes_rate_lag_3m,0.0837795182979137,0.07405032627361748,2,150
soporte_stress_calidad_media_lag_1m,0.08335040807953494,0.06873325864287322,2,151
fact_importe_total_was_missing_lag_2m,0.08113875700845484,0.05446325026044091,2,152
soporte_motivo_missing_rate_lag_2m,0.08056922740274765,0.06083958597282737,2,153
encuestas_sentimiento_medio,0.07742769558099084,0.07554112339855504,2,154
fact_stress_calidad_lag_lag_3m,0.07628021750875408,0.0402986877300841,2,155
soporte_motivo_missing_rate,0.0748502417088027,0.06276443603603804,2,156
encuestas_stress_medio,0.07478537286804406,0.07289880068560825,2,157
fact_importe_total_was_missing_lag_1m,0.0744140801939717,0.06340189171276613,2,158
red_cobertura_5g_pct_lag_1m,0.07188123043885823,0.060869041957652664,2,159
soporte_contactos,0.07167872740530569,0.07167872740530569,1,160
soporte_duracion_max_lag_3m,0.07137823077382137,0.06626658584845996,2,161
soporte_satisfaccion_min_lag_3m,0.0713198286813133,0.06620818375595189,2,162
encuestas_incongruentes_rate_lag_1m,0.06979978640271477,0.06953403318617425,2,163
soporte_dias_retraso_media_lag_3m,0.06878198218243053,0.06367033725706912,2,164
soporte_satisfaccion_missing_rate_lag_2m,0.06862610845176623,0.048896467021845955,2,165
soporte_duracion_media_lag_1m,0.06854242782802161,0.05392527839135989,2,166
encuestas_incongruentes_rate,0.06549082541449061,0.0636042532320548,2,167
red_latencia_ms_was_missing_lag_1m,0.06393726879411739,0.05292508031291183,2,168
encuestas_n_lag_1m,0.06105274434724482,0.06105274434724482,1,169
fact_variacion_consumo_pct_lag_2m,0.060612981997210165,0.05446325026044091,2,170
red_latencia_ms_lag_3m,0.06032384242687337,0.0402986877300841,2,171
red_latencia_ms_was_missing_lag_2m,0.060287723832887045,0.05446325026044091,2,172
soporte_duracion_max_lag_1m,0.05685570268688926,0.042238553250227545,2,173
fact_importe_total_was_missing,0.05565716487837957,0.05565716487837957,1,174
fact_incidencia_masiva_lag_lag_3m,0.05558687486152384,0.0402986877300841,2,175
red_latencia_ms_was_missing_lag_3m,0.05528129601591601,0.0402986877300841,2,176
red_velocidad_media_mbps_lag_3m,0.053846956272398,0.0402986877300841,2,177
fact_variacion_consumo_pct_lag_1m,0.04810560090910819,0.03709341242790263,2,178
soporte_satisfaccion_media_lag_3m,0.04734101200391414,0.04222936707855274,2,179
red_cobertura_4g_pct_was_missing_lag_3m,0.04633410139024978,0.0402986877300841,2,180
encuestas_sentimiento_medio_roll_3m,0.045702406141068685,0.04381583395863288,2,181
descuento_activo,0.04521300676707517,0.04521300676707517,1,182
encuestas_sentimiento_medio_lag_3m,0.04483066518124522,0.03510147315694899,2,183
soporte_no_resueltos_lag_3m,0.04307356373290488,0.04307356373290488,1,184
fact_variacion_consumo_pct_lag_3m,0.042001207701847176,0.0402986877300841,2,185
soporte_stress_calidad_media_lag_2m,0.04190469531914205,0.02217505388922178,2,186
fact_importe_total_was_missing_lag_3m,0.04167217777079807,0.0402986877300841,2,187
encuestas_puntuacion_media_lag_1m,0.041670634141614704,0.04140488092507418,2,188
fact_descuento_aplicado,0.04163234228896262,0.04163234228896262,1,189
fact_num_lineas_lag_3m,0.04083096780050872,0.0402986877300841,2,190
fact_impago_flag,0.03874233679542652,0.03874233679542652,1,191
red_latencia_ms_was_missing_roll_3m,0.0357172713884991,0.0357172713884991,1,192
soporte_incidencia_masiva_lag_3m,0.032540660784907506,0.032540660784907506,1,193
estado_civil_was_missing,0.03209574848878165,0.03209574848878165,1,194
soporte_no_resueltos,0.03170477044981956,0.03170477044981956,1,195
encuestas_sentimiento_medio_lag_1m,0.03168463099909739,0.03141887778255687,2,196
