feature_original,abs_importance,max_abs_importance,n_transformed_features,rank
fact_stress_calidad_lag_lag_2m,1.6121568650973577,1.4810141147681402,2,1
soporte_canal_principal,1.5296350745746765,0.7243008110372116,7,2
fact_stress_calidad_lag_roll_3m,1.432337465351334,1.432337465351334,1,3
fact_dias_retraso_pago_roll_3m,1.427239321339671,1.427239321339671,1,4
fact_importe_total,1.3572193972704796,1.3572193972704796,1,5
fact_importe_total_roll_3m,1.1272098710609313,1.1272098710609313,1,6
red_indice_calidad_global_lag_2m,1.06622847435047,0.9350857240212523,2,7
fact_dias_retraso_pago_lag_2m,0.9157466038160066,0.784603853486789,2,8
fact_dias_retraso_pago_lag_1m,0.8237082721527119,0.7949193019818502,2,9
fact_dias_retraso_pago,0.7827518917073801,0.7827518917073801,1,10
soporte_motivo_principal,0.7698110955924018,0.19405292230622725,8,11
red_indice_calidad_global_lag_3m,0.7655030588801756,0.6394901344214855,2,12
fact_cargo_base_lag_2m,0.6644704144701186,0.5333276641409009,2,13
fact_impago_flag_roll_3m,0.6394120239571404,0.6394120239571404,1,14
fact_cargo_base_lag_3m,0.622808918028058,0.49679599356936804,2,15
fact_num_lineas_lag_1m,0.5868944372425683,0.5581054670717066,2,16
fact_cargo_base_lag_1m,0.561869757164235,0.5330807869933734,2,17
red_indice_calidad_global_roll_3m,0.5463987948833365,0.5463987948833365,1,18
red_cobertura_5g_pct_lag_2m,0.5038712962258423,0.3727285458966247,2,19
red_poblacion_zona_lag_3m,0.45112308157228465,0.3251101571135946,2,20
fact_tipo_plan,0.43863051452594765,0.24245806970957817,3,21
fact_impago_flag_lag_2m,0.4258190684694595,0.29467631814024187,2,22
red_poblacion_zona_lag_2m,0.40796686098826307,0.27682411065904544,2,23
fact_importe_total_lag_3m,0.3948374327840236,0.2688245083253336,2,24
fact_stress_calidad_lag_lag_1m,0.3938950956340178,0.3651061254631562,2,25
fact_descuento_aplicado_lag_2m,0.3737016799388134,0.24255892960959582,2,26
fact_descuento_aplicado_roll_3m,0.3616940935651887,0.3616940935651887,1,27
red_indice_calidad_global_lag_1m,0.3197022541350569,0.29091328396419525,2,28
fact_num_lineas_roll_3m,0.304755693833257,0.304755693833257,1,29
fact_num_lineas,0.304755693833257,0.304755693833257,1,30
red_cobertura_4g_pct_lag_1m,0.3045021994591285,0.27571322928826686,2,31
red_cobertura_4g_pct_roll_3m,0.3042040764711884,0.3042040764711884,1,32
red_cobertura_5g_pct_lag_3m,0.29762280054417006,0.17160987608548003,2,33
red_cobertura_4g_pct_lag_3m,0.23857635980037328,0.12601292445869003,2,34
red_tasa_cortes_pct_lag_3m,0.20294813520492105,0.12601292445869003,2,35
fact_importe_total_lag_2m,0.17055647190215523,0.1311427503292176,2,36
red_incidencia_masiva_lag_2m,0.14717184291879357,0.1311427503292176,2,37
red_incidencia_masiva_lag_3m,0.1362003077839302,0.12601292445869003,2,38
fact_importe_total_lag_1m,0.12153369013726417,0.09274471996640254,2,39
soporte_impago_mes_roll_3m,0.12015993725508388,0.12015993725508388,1,40
soporte_satisfaccion_min,0.11340787376267876,0.1024856357327247,2,41
soporte_satisfaccion_media_roll_3m,0.10737210953251528,0.09644987150256122,2,42
fact_stress_calidad_lag,0.08979009050804854,0.08979009050804854,1,43
red_cobertura_5g_pct_roll_3m,0.0861820322834202,0.0861820322834202,1,44
soporte_satisfaccion_min_roll_3m,0.08128087690727143,0.07035863887731737,2,45
soporte_dias_retraso_media_roll_3m,0.08062202608923795,0.0696997880592839,2,46
soporte_satisfaccion_media,0.08056659731844819,0.06964435928849413,2,47
soporte_duracion_max_roll_3m,0.07634796445391166,0.06542572642395761,2,48
soporte_duracion_media_roll_3m,0.07604717332906073,0.06512493529910668,2,49
red_tasa_cortes_pct_roll_3m,0.011334987292029482,0.011334987292029482,1,50
