feature_original,abs_importance,max_abs_importance,n_transformed_features,rank
fact_stress_calidad_lag_lag_2m,1.7264928447488108,1.560839658604654,2,1
soporte_canal_principal,1.5403932786518217,0.7414534270534783,7,2
fact_stress_calidad_lag_roll_3m,1.505892673078573,1.505892673078573,1,3
fact_dias_retraso_pago_roll_3m,1.4400530108266898,1.4400530108266898,1,4
fact_importe_total,1.3204298105487646,1.3204298105487646,1,5
fact_importe_total_roll_3m,1.1610163348514324,1.1610163348514324,1,6
fact_dias_retraso_pago_lag_2m,0.956103387620896,0.7904502014767393,2,7
red_indice_calidad_global_lag_2m,0.9545854175271097,0.788932231382953,2,8
red_indice_calidad_global_lag_3m,0.9311140115737472,0.6794732087460327,2,9
soporte_motivo_principal,0.8831324534111705,0.21222908434360746,8,10
fact_dias_retraso_pago_lag_1m,0.8631620803643725,0.8027598257363051,2,11
fact_dias_retraso_pago,0.7963815652223988,0.7963815652223988,1,12
fact_cargo_base_lag_3m,0.7256955964666121,0.47405479363889763,2,13
fact_cargo_base_lag_2m,0.6342984218870071,0.4686452357428504,2,14
fact_impago_flag_roll_3m,0.6124093646315584,0.6124093646315584,1,15
fact_num_lineas_lag_1m,0.6033949043703639,0.5429926497422966,2,16
fact_cargo_base_lag_1m,0.6000056610306673,0.5396034064026,2,17
red_poblacion_zona_lag_3m,0.5480857811281169,0.2964449783004024,2,18
fact_importe_total_lag_3m,0.49929123799176023,0.2516408028277145,2,19
fact_tipo_plan,0.4616151907307463,0.25352569179308565,3,20
fact_impago_flag_lag_2m,0.4607642512108794,0.29511106506672263,2,21
fact_descuento_aplicado_lag_2m,0.4075446779016909,0.2418914917575342,2,22
red_poblacion_zona_lag_2m,0.40060232350684566,0.2349491373626889,2,23
fact_stress_calidad_lag_lag_1m,0.3949646695214498,0.33456241489338245,2,24
fact_descuento_aplicado_roll_3m,0.3672195193354304,0.3672195193354304,1,25
red_cobertura_5g_pct_lag_2m,0.2997239083507882,0.16565318614415672,2,26
fact_num_lineas_roll_3m,0.2948368594627993,0.2948368594627993,1,27
fact_num_lineas,0.2948368594627993,0.2948368594627993,1,28
red_indice_calidad_global_lag_1m,0.2420151457657258,0.18161289113765844,2,29
red_indice_calidad_global_roll_3m,0.20792240373970994,0.20792240373970994,1,30
