feature_original,abs_importance,max_abs_importance,n_transformed_features,rank
fact_stress_calidad_lag_roll_3m,2.1001540020487397,2.1001540020487397,1,1
fact_dias_retraso_pago_roll_3m,1.5948870692145942,1.5948870692145942,1,2
soporte_canal_principal,1.4399260330907573,0.6563749014099681,7,3
fact_dias_retraso_pago_lag_1m,1.106431783364803,0.8887149186663571,2,4
fact_stress_calidad_lag_lag_1m,0.9570629848469094,0.7393461201484637,2,5
fact_dias_retraso_pago_lag_2m,0.9014577678952999,0.875804381081748,2,6
fact_dias_retraso_pago,0.874866874034471,0.874866874034471,1,7
fact_stress_calidad_lag_lag_2m,0.8534602331729113,0.8278068463593594,2,8
soporte_motivo_principal,0.7898419032446362,0.1896257755996113,8,9
fact_impago_flag_roll_3m,0.6385128878846836,0.6385128878846836,1,10
fact_tipo_plan,0.4220823286045423,0.23884365466394222,3,11
fact_stress_calidad_lag,0.36225307576531224,0.36225307576531224,1,12
fact_impago_flag_lag_2m,0.3192718082652169,0.29361842145166495,2,13
red_cobertura_5g_pct_lag_2m,0.30028484017929175,0.2746314533657398,2,14
fact_cargo_base_lag_1m,0.27006492613706656,0.21771686469844578,2,15
red_cobertura_4g_pct_lag_3m,0.2572647890102027,0.2025308700220723,2,16
red_cobertura_4g_pct_lag_1m,0.2497942731750786,0.21771686469844578,2,17
fact_descuento_aplicado_roll_3m,0.22421711195434116,0.22421711195434116,1,18
red_cobertura_5g_pct_lag_3m,0.19803119658776908,0.14329727759963864,2,19
fact_descuento_aplicado_lag_2m,0.19052571954566466,0.16487233273211271,2,20
red_tasa_cortes_pct_lag_3m,0.14968705024737178,0.09495313125924132,2,21
red_indice_calidad_global_roll_3m,0.12259200510886911,0.12259200510886911,1,22
soporte_impago_mes_roll_3m,0.12124576302578886,0.12124576302578886,1,23
soporte_satisfaccion_min,0.11425596096586815,0.10403600696362948,2,24
red_cobertura_4g_pct_roll_3m,0.11056839660397293,0.11056839660397293,1,25
soporte_satisfaccion_media_roll_3m,0.10532392160177213,0.09510396759953346,2,26
soporte_satisfaccion_min_roll_3m,0.08610753782853596,0.07588758382629729,2,27
soporte_dias_retraso_media_roll_3m,0.08032793232121352,0.07010797831897485,2,28
soporte_satisfaccion_media,0.07911071135209584,0.06889075734985717,2,29
soporte_duracion_media_roll_3m,0.07132219974461108,0.06110224574237241,2,30
soporte_duracion_max_roll_3m,0.07086789300001312,0.06064793899777445,2,31
fact_num_lineas,0.07040310053243694,0.07040310053243694,1,32
red_cobertura_5g_pct_roll_3m,0.0681786330390696,0.0681786330390696,1,33
red_incidencia_masiva_lag_3m,0.06030773320772276,0.054733918988130445,2,34
fact_importe_total_roll_3m,0.03699312216072727,0.03699312216072727,1,35
red_incidencia_masiva_lag_2m,0.03654305341466831,0.025653386813551934,2,36
red_tasa_cortes_pct_roll_3m,0.013315286518111102,0.013315286518111102,1,37
