feature_original,abs_importance,max_abs_importance,n_transformed_features,rank
num_median__fact_stress_calidad_lag_roll_3m,2.0710447985178515,2.0710447985178515,1,1
num_median__fact_dias_retraso_pago_roll_3m,1.5900028983666985,1.5900028983666985,1,2
soporte_canal_principal,1.4683083548443787,0.6603949455213237,8,3
num_median__fact_dias_retraso_pago_lag_1m,1.1023239114197507,0.8860270251549534,2,4
num_median__fact_stress_calidad_lag_lag_1m,0.9490662710951445,0.7327693848303473,2,5
num_median__fact_dias_retraso_pago_lag_2m,0.8979847097289892,0.8732288977723048,2,6
num_median__fact_dias_retraso_pago,0.8723201177071246,0.8723201177071246,1,7
num_median__fact_stress_calidad_lag_lag_2m,0.8416671475134063,0.8169113355567219,2,8
soporte_motivo_principal,0.7978272572991222,0.18844030773314654,8,9
num_zero__fact_impago_flag_roll_3m,0.6382885327632357,0.6382885327632357,1,10
fact_tipo_plan,0.41773192936515596,0.23458314709862235,3,11
num_median__fact_stress_calidad_lag,0.35116406571480335,0.35116406571480335,1,12
num_zero__fact_impago_flag_lag_2m,0.3182584387395298,0.29350262678284544,2,13
num_median__red_cobertura_5g_pct_lag_2m,0.30172840117919775,0.2769725892225134,2,14
num_median__fact_cargo_base_lag_1m,0.2685377848604736,0.21629688626479732,2,15
num_median__red_cobertura_4g_pct_lag_3m,0.2559843730192993,0.20172239467486602,2,16
num_median__red_cobertura_4g_pct_lag_1m,0.24789598306977428,0.21629688626479732,2,17
num_median__fact_descuento_aplicado_roll_3m,0.22388687705137433,0.22388687705137433,1,18
num_median__red_cobertura_5g_pct_lag_3m,0.19702400899061465,0.14276203064618134,2,19
num_median__fact_descuento_aplicado_lag_2m,0.18938465031593626,0.1646288383592519,2,20
num_median__red_tasa_cortes_pct_lag_3m,0.14966797323202025,0.09540599488758693,2,21
num_zero__soporte_duracion_media_roll_3m,0.14312325115134242,0.14010494359102244,2,22
num_zero__soporte_duracion_max_roll_3m,0.14197798424910546,0.13895967668878548,2,23
num_zero__soporte_impago_mes_roll_3m,0.12141324705471249,0.12141324705471249,1,24
num_median__red_indice_calidad_global_roll_3m,0.1208285365334427,0.1208285365334427,1,25
num_median__red_cobertura_4g_pct_roll_3m,0.1086615208772271,0.1086615208772271,1,26
num_median__soporte_satisfaccion_min,0.10681163715733333,0.10379332959701336,2,27
num_median__soporte_satisfaccion_media_roll_3m,0.09784076383632459,0.09482245627600462,2,28
num_median__soporte_satisfaccion_min_roll_3m,0.07853248209215404,0.07551417453183407,2,29
num_median__soporte_dias_retraso_media_roll_3m,0.07344661157226491,0.07042830401194494,2,30
num_median__soporte_satisfaccion_media,0.07172965484410734,0.06871134728378737,2,31
num_median__red_cobertura_5g_pct_roll_3m,0.07028606073159076,0.07028606073159076,1,32
num_median__fact_num_lineas,0.07013082238713633,0.07013082238713633,1,33
num_zero__red_incidencia_masiva_lag_3m,0.059865442837527615,0.05426197834443331,2,34
num_median__fact_importe_total_roll_3m,0.037383958146436976,0.037383958146436976,1,35
num_zero__red_incidencia_masiva_lag_2m,0.03557917573610486,0.02475581195668436,2,36
num_median__red_tasa_cortes_pct_roll_3m,0.013542358496563664,0.013542358496563664,1,37
