feature_transformed,importance,abs_importance,importance_type,feature_original,rank
cat__fact_zona_id_Z05,1.5712458141592633,1.5712458141592633,coefficient,fact_zona_id,1
cat__fact_zona_id_Z13,1.4692800136798625,1.4692800136798625,coefficient,fact_zona_id,2
cat__fact_zona_id_Z04,1.4399165823414375,1.4399165823414375,coefficient,fact_zona_id,3
cat__zona_id_Z02,-1.348160693567641,1.348160693567641,coefficient,zona_id,4
cat__fact_zona_id_Z22,1.276590421853181,1.276590421853181,coefficient,fact_zona_id,5
cat__fact_zona_id_Z02,1.2091547626439454,1.2091547626439454,coefficient,fact_zona_id,6
num__fact_stress_calidad_lag_lag_2m,-1.1882522916413294,1.1882522916413294,coefficient,fact_stress_calidad_lag_lag_2m,7
cat__zona_id_Z05,-1.1317619733776687,1.1317619733776687,coefficient,zona_id,8
cat__fact_zona_id_Z27,1.0922988495544161,1.0922988495544161,coefficient,fact_zona_id,9
cat__fact_zona_id_Z09,1.0905723612992375,1.0905723612992375,coefficient,fact_zona_id,10
cat__fact_zona_id_Z20,-1.0372050762574072,1.0372050762574072,coefficient,fact_zona_id,11
num__fact_importe_total_lag_1m,0.994918526967898,0.994918526967898,coefficient,fact_importe_total_lag_1m,12
cat__zona_id_Z16,0.9922981534682436,0.9922981534682436,coefficient,zona_id,13
num__fact_importe_total,-0.9742638161209127,0.9742638161209127,coefficient,fact_importe_total,14
cat__zona_id_Z04,-0.9486503189980446,0.9486503189980446,coefficient,zona_id,15
num__fact_stress_calidad_lag_roll_3m,0.9370170010176766,0.9370170010176766,coefficient,fact_stress_calidad_lag_roll_3m,16
num__fact_cargo_base_lag_2m,-0.9147203255963959,0.9147203255963959,coefficient,fact_cargo_base_lag_2m,17
cat__fact_zona_id_Z15,-0.9073399939883798,0.9073399939883798,coefficient,fact_zona_id,18
cat__fact_zona_id_Z26,-0.9065138335179628,0.9065138335179628,coefficient,fact_zona_id,19
cat__fact_zona_id_Z29,-0.9061065525977254,0.9061065525977254,coefficient,fact_zona_id,20
cat__soporte_canal_principal_paloma,-0.9016390704406021,0.9016390704406021,coefficient,soporte_canal_principal,21
cat__fact_zona_id_Z23,0.8530268730427645,0.8530268730427645,coefficient,fact_zona_id,22
cat__fact_zona_id_Z17,0.8372555781836191,0.8372555781836191,coefficient,fact_zona_id,23
