feature_transformed,importance,abs_importance,importance_type,feature_original,rank
num__fact_stress_calidad_lag_lag_2m,-1.3117530254217888,1.3117530254217888,coefficient,fact_stress_calidad_lag_lag_2m,1
num__fact_importe_total_lag_1m,1.0043040477088878,1.0043040477088878,coefficient,fact_importe_total_lag_1m,2
num__fact_cargo_base_lag_2m,-0.9211673537055127,0.9211673537055127,coefficient,fact_cargo_base_lag_2m,3
num__fact_importe_total,-0.905390572485713,0.905390572485713,coefficient,fact_importe_total,4
num__red_indice_calidad_global_lag_2m,0.8298150303434348,0.8298150303434348,coefficient,red_indice_calidad_global_lag_2m,5
cat__soporte_canal_principal_paloma,-0.7552915030175753,0.7552915030175753,coefficient,soporte_canal_principal,6
num__fact_stress_calidad_lag_roll_3m,0.7272120930478296,0.7272120930478296,coefficient,fact_stress_calidad_lag_roll_3m,7
num__fact_dias_retraso_pago_roll_3m,-0.7101813268391856,0.7101813268391856,coefficient,fact_dias_retraso_pago_roll_3m,8
cat__soporte_canal_principal_fax,0.7099694527526603,0.7099694527526603,coefficient,soporte_canal_principal,9
num__red_indice_calidad_global_lag_3m,-0.695535479871538,0.695535479871538,coefficient,red_indice_calidad_global_lag_3m,10
num__red_cobertura_5g_pct_lag_2m,-0.629934170635157,0.629934170635157,coefficient,red_cobertura_5g_pct_lag_2m,11
num__fact_stress_calidad_lag_lag_1m,0.5873275309622049,0.5873275309622049,coefficient,fact_stress_calidad_lag_lag_1m,12
num__fact_num_lineas_lag_1m,-0.5484646827830505,0.5484646827830505,coefficient,fact_num_lineas_lag_1m,13
num__fact_importe_total_roll_3m,0.5471729884090877,0.5471729884090877,coefficient,fact_importe_total_roll_3m,14
num__red_poblacion_zona_lag_2m,0.5266053187476193,0.5266053187476193,coefficient,red_poblacion_zona_lag_2m,15
num__fact_impago_flag_roll_3m,0.4619602999536458,0.4619602999536458,coefficient,fact_impago_flag_roll_3m,16
num__red_cobertura_5g_pct_roll_3m,0.4569665800727658,0.4569665800727658,coefficient,red_cobertura_5g_pct_roll_3m,17
num__soporte_satisfaccion_min_roll_3m,0.4346622984574216,0.4346622984574216,coefficient,soporte_satisfaccion_min_roll_3m,18
num__fact_descuento_aplicado_roll_3m,-0.4229650500667095,0.4229650500667095,coefficient,fact_descuento_aplicado_roll_3m,19
num__fact_importe_total_lag_3m,0.42211342779070016,0.42211342779070016,coefficient,fact_importe_total_lag_3m,20
num__soporte_satisfaccion_media_roll_3m,-0.4015377315654155,0.4015377315654155,coefficient,soporte_satisfaccion_media_roll_3m,21
num__red_cobertura_5g_pct_lag_3m,0.39856149150227077,0.39856149150227077,coefficient,red_cobertura_5g_pct_lag_3m,22
num__fact_dias_retraso_pago_lag_2m,0.3975665654396299,0.3975665654396299,coefficient,fact_dias_retraso_pago_lag_2m,23
num__fact_dias_retraso_pago_lag_1m,0.39449180624942387,0.39449180624942387,coefficient,fact_dias_retraso_pago_lag_1m,24
num__soporte_impago_mes_roll_3m,-0.3939917646349221,0.3939917646349221,coefficient,soporte_impago_mes_roll_3m,25
num__red_poblacion_zona_lag_3m,-0.3748297560874515,0.3748297560874515,coefficient,red_poblacion_zona_lag_3m,26
num__fact_dias_retraso_pago,0.3748272938738001,0.3748272938738001,coefficient,fact_dias_retraso_pago,27
num__red_cobertura_4g_pct_roll_3m,0.36735194388114173,0.36735194388114173,coefficient,red_cobertura_4g_pct_roll_3m,28
num__fact_cargo_base_lag_1m,-0.3531587857196609,0.3531587857196609,coefficient,fact_cargo_base_lag_1m,29
num__red_cobertura_4g_pct_lag_1m,-0.3439370912689333,0.3439370912689333,coefficient,red_cobertura_4g_pct_lag_1m,30
num__soporte_satisfaccion_min,-0.3383837073196745,0.3383837073196745,coefficient,soporte_satisfaccion_min,31
num__red_indice_calidad_global_roll_3m,-0.31896844943518504,0.31896844943518504,coefficient,red_indice_calidad_global_roll_3m,32
num__soporte_dias_retraso_media_roll_3m,0.31576810921245496,0.31576810921245496,coefficient,soporte_dias_retraso_media_roll_3m,33
num__red_tasa_cortes_pct_roll_3m,0.3031430054422668,0.3031430054422668,coefficient,red_tasa_cortes_pct_roll_3m,34
num__fact_importe_total_lag_2m,0.3007004908365116,0.3007004908365116,coefficient,fact_importe_total_lag_2m,35
num__fact_num_lineas,0.2893853658715924,0.2893853658715924,coefficient,fact_num_lineas,36
num__fact_num_lineas_roll_3m,0.2893853658715924,0.2893853658715924,coefficient,fact_num_lineas_roll_3m,37
num__fact_stress_calidad_lag,0.28714000538985734,0.28714000538985734,coefficient,fact_stress_calidad_lag,38
num__red_cobertura_4g_pct_lag_3m,-0.285398738059956,0.285398738059956,coefficient,red_cobertura_4g_pct_lag_3m,39
num__soporte_duracion_max_roll_3m,0.283706496219903,0.283706496219903,coefficient,soporte_duracion_max_roll_3m,40
num__red_indice_calidad_global_lag_1m,0.2781182369784982,0.2781182369784982,coefficient,red_indice_calidad_global_lag_1m,41
num__soporte_duracion_media_roll_3m,-0.2757982315013367,0.2757982315013367,coefficient,soporte_duracion_media_roll_3m,42
num__fact_descuento_aplicado_lag_2m,0.27371188617332814,0.27371188617332814,coefficient,fact_descuento_aplicado_lag_2m,43
num__soporte_satisfaccion_media,0.2694347009320068,0.2694347009320068,coefficient,soporte_satisfaccion_media,44
num__red_incidencia_masiva_lag_3m,0.26201516756786686,0.26201516756786686,coefficient,red_incidencia_masiva_lag_3m,45
num__red_incidencia_masiva_lag_2m,0.24834215694680503,0.24834215694680503,coefficient,red_incidencia_masiva_lag_2m,46
num__soporte_impago_mes,0.24709868206506783,0.24709868206506783,coefficient,soporte_impago_mes,47
