feature_transformed,importance,abs_importance,importance_type,feature_original,rank
num__fact_stress_calidad_lag_lag_2m,-1.4810141147681402,1.4810141147681402,coefficient,fact_stress_calidad_lag_lag_2m,1
num__fact_stress_calidad_lag_roll_3m,1.432337465351334,1.432337465351334,coefficient,fact_stress_calidad_lag_roll_3m,2
num__fact_dias_retraso_pago_roll_3m,-1.427239321339671,1.427239321339671,coefficient,fact_dias_retraso_pago_roll_3m,3
num__fact_importe_total,-1.3572193972704796,1.3572193972704796,coefficient,fact_importe_total,4
num__fact_importe_total_roll_3m,1.1272098710609313,1.1272098710609313,coefficient,fact_importe_total_roll_3m,5
num__red_indice_calidad_global_lag_2m,0.9350857240212523,0.9350857240212523,coefficient,red_indice_calidad_global_lag_2m,6
num__fact_dias_retraso_pago_lag_1m,0.7949193019818502,0.7949193019818502,coefficient,fact_dias_retraso_pago_lag_1m,7
num__fact_dias_retraso_pago_lag_2m,0.784603853486789,0.784603853486789,coefficient,fact_dias_retraso_pago_lag_2m,8
num__fact_dias_retraso_pago,0.7827518917073801,0.7827518917073801,coefficient,fact_dias_retraso_pago,9
cat__soporte_canal_principal_paloma,-0.7243008110372116,0.7243008110372116,coefficient,soporte_canal_principal,10
cat__soporte_canal_principal_fax,0.672137170393568,0.672137170393568,coefficient,soporte_canal_principal,11
num__red_indice_calidad_global_lag_3m,-0.6394901344214855,0.6394901344214855,coefficient,red_indice_calidad_global_lag_3m,12
num__fact_impago_flag_roll_3m,0.6394120239571404,0.6394120239571404,coefficient,fact_impago_flag_roll_3m,13
num__fact_num_lineas_lag_1m,-0.5581054670717066,0.5581054670717066,coefficient,fact_num_lineas_lag_1m,14
num__red_indice_calidad_global_roll_3m,-0.5463987948833365,0.5463987948833365,coefficient,red_indice_calidad_global_roll_3m,15
num__fact_cargo_base_lag_2m,-0.5333276641409009,0.5333276641409009,coefficient,fact_cargo_base_lag_2m,16
num__fact_cargo_base_lag_1m,0.5330807869933734,0.5330807869933734,coefficient,fact_cargo_base_lag_1m,17
num__fact_cargo_base_lag_3m,0.49679599356936804,0.49679599356936804,coefficient,fact_cargo_base_lag_3m,18
num__red_cobertura_5g_pct_lag_2m,-0.3727285458966247,0.3727285458966247,coefficient,red_cobertura_5g_pct_lag_2m,19
num__fact_stress_calidad_lag_lag_1m,0.3651061254631562,0.3651061254631562,coefficient,fact_stress_calidad_lag_lag_1m,20
num__fact_descuento_aplicado_roll_3m,-0.3616940935651887,0.3616940935651887,coefficient,fact_descuento_aplicado_roll_3m,21
num__red_poblacion_zona_lag_3m,-0.3251101571135946,0.3251101571135946,coefficient,red_poblacion_zona_lag_3m,22
num__fact_num_lineas,0.304755693833257,0.304755693833257,coefficient,fact_num_lineas,23
num__fact_num_lineas_roll_3m,0.304755693833257,0.304755693833257,coefficient,fact_num_lineas_roll_3m,24
num__red_cobertura_4g_pct_roll_3m,0.3042040764711884,0.3042040764711884,coefficient,red_cobertura_4g_pct_roll_3m,25
num__fact_impago_flag_lag_2m,-0.29467631814024187,0.29467631814024187,coefficient,fact_impago_flag_lag_2m,26
num__red_indice_calidad_global_lag_1m,0.29091328396419525,0.29091328396419525,coefficient,red_indice_calidad_global_lag_1m,27
num__red_poblacion_zona_lag_2m,0.27682411065904544,0.27682411065904544,coefficient,red_poblacion_zona_lag_2m,28
num__red_cobertura_4g_pct_lag_1m,-0.27571322928826686,0.27571322928826686,coefficient,red_cobertura_4g_pct_lag_1m,29
num__fact_importe_total_lag_3m,-0.2688245083253336,0.2688245083253336,coefficient,fact_importe_total_lag_3m,30
num__fact_descuento_aplicado_lag_2m,0.24255892960959582,0.24255892960959582,coefficient,fact_descuento_aplicado_lag_2m,31
cat__fact_tipo_plan_Premium,-0.24245806970957817,0.24245806970957817,coefficient,fact_tipo_plan,32
cat__soporte_motivo_principal_Cambio de plan,-0.19405292230622725,0.19405292230622725,coefficient,soporte_motivo_principal,33
cat__fact_tipo_plan_Prepago,0.19202785451914647,0.19202785451914647,coefficient,fact_tipo_plan,34
num__red_cobertura_5g_pct_lag_3m,0.17160987608548003,0.17160987608548003,coefficient,red_cobertura_5g_pct_lag_3m,35
cat__soporte_motivo_principal_Cobertura / velocidad,0.16835789851377253,0.16835789851377253,coefficient,soporte_motivo_principal,36
num__missingindicator_red_poblacion_zona_lag_2m,0.1311427503292176,0.1311427503292176,coefficient,red_poblacion_zona_lag_2m,37
num__missingindicator_fact_stress_calidad_lag_lag_2m,0.1311427503292176,0.1311427503292176,coefficient,fact_stress_calidad_lag_lag_2m,38
num__missingindicator_red_incidencia_masiva_lag_2m,0.1311427503292176,0.1311427503292176,coefficient,red_incidencia_masiva_lag_2m,39
num__missingindicator_fact_descuento_aplicado_lag_2m,0.1311427503292176,0.1311427503292176,coefficient,fact_descuento_aplicado_lag_2m,40
num__missingindicator_fact_importe_total_lag_2m,0.1311427503292176,0.1311427503292176,coefficient,fact_importe_total_lag_2m,41
num__missingindicator_fact_dias_retraso_pago_lag_2m,0.1311427503292176,0.1311427503292176,coefficient,fact_dias_retraso_pago_lag_2m,42
num__missingindicator_red_cobertura_5g_pct_lag_2m,0.1311427503292176,0.1311427503292176,coefficient,red_cobertura_5g_pct_lag_2m,43
num__missingindicator_red_indice_calidad_global_lag_2m,0.1311427503292176,0.1311427503292176,coefficient,red_indice_calidad_global_lag_2m,44
num__missingindicator_fact_cargo_base_lag_2m,0.1311427503292176,0.1311427503292176,coefficient,fact_cargo_base_lag_2m,45
num__missingindicator_fact_impago_flag_lag_2m,0.1311427503292176,0.1311427503292176,coefficient,fact_impago_flag_lag_2m,46
num__missingindicator_red_poblacion_zona_lag_3m,-0.12601292445869003,0.12601292445869003,coefficient,red_poblacion_zona_lag_3m,47
num__missingindicator_fact_importe_total_lag_3m,-0.12601292445869003,0.12601292445869003,coefficient,fact_importe_total_lag_3m,48
num__missingindicator_fact_cargo_base_lag_3m,-0.12601292445869003,0.12601292445869003,coefficient,fact_cargo_base_lag_3m,49
num__missingindicator_red_incidencia_masiva_lag_3m,-0.12601292445869003,0.12601292445869003,coefficient,red_incidencia_masiva_lag_3m,50
num__missingindicator_red_cobertura_4g_pct_lag_3m,-0.12601292445869003,0.12601292445869003,coefficient,red_cobertura_4g_pct_lag_3m,51
num__missingindicator_red_indice_calidad_global_lag_3m,-0.12601292445869003,0.12601292445869003,coefficient,red_indice_calidad_global_lag_3m,52
num__missingindicator_red_cobertura_5g_pct_lag_3m,-0.12601292445869003,0.12601292445869003,coefficient,red_cobertura_5g_pct_lag_3m,53
num__missingindicator_red_tasa_cortes_pct_lag_3m,-0.12601292445869003,0.12601292445869003,coefficient,red_tasa_cortes_pct_lag_3m,54
cat__soporte_motivo_principal_Consulta general,-0.1235255826415356,0.1235255826415356,coefficient,soporte_motivo_principal,55
num__soporte_impago_mes_roll_3m,-0.12015993725508388,0.12015993725508388,coefficient,soporte_impago_mes_roll_3m,56
cat__soporte_motivo_principal_Facturación,0.11636232255533932,0.11636232255533932,coefficient,soporte_motivo_principal,57
num__red_cobertura_4g_pct_lag_3m,-0.11256343534168324,0.11256343534168324,coefficient,red_cobertura_4g_pct_lag_3m,58
num__soporte_satisfaccion_min,-0.1024856357327247,0.1024856357327247,coefficient,soporte_satisfaccion_min,59
num__soporte_satisfaccion_media_roll_3m,-0.09644987150256122,0.09644987150256122,coefficient,soporte_satisfaccion_media_roll_3m,60
num__fact_importe_total_lag_1m,0.09274471996640254,0.09274471996640254,coefficient,fact_importe_total_lag_1m,61
num__fact_stress_calidad_lag,-0.08979009050804854,0.08979009050804854,coefficient,fact_stress_calidad_lag,62
num__red_cobertura_5g_pct_roll_3m,0.0861820322834202,0.0861820322834202,coefficient,red_cobertura_5g_pct_roll_3m,63
num__red_tasa_cortes_pct_lag_3m,-0.07693521074623101,0.07693521074623101,coefficient,red_tasa_cortes_pct_lag_3m,64
cat__soporte_motivo_principal_Desconocido,-0.07311240000755605,0.07311240000755605,coefficient,soporte_motivo_principal,65
num__soporte_satisfaccion_min_roll_3m,0.07035863887731737,0.07035863887731737,coefficient,soporte_satisfaccion_min_roll_3m,66
num__soporte_dias_retraso_media_roll_3m,0.0696997880592839,0.0696997880592839,coefficient,soporte_dias_retraso_media_roll_3m,67
num__soporte_satisfaccion_media,0.06964435928849413,0.06964435928849413,coefficient,soporte_satisfaccion_media,68
cat__soporte_canal_principal_carrier-pigeon,-0.06780412899385989,0.06780412899385989,coefficient,soporte_canal_principal,69
num__soporte_duracion_max_roll_3m,0.06542572642395761,0.06542572642395761,coefficient,soporte_duracion_max_roll_3m,70
num__soporte_duracion_media_roll_3m,-0.06512493529910668,0.06512493529910668,coefficient,soporte_duracion_media_roll_3m,71
cat__soporte_motivo_principal_Impago / pago,0.05339444107524103,0.05339444107524103,coefficient,soporte_motivo_principal,72
num__fact_importe_total_lag_2m,0.03941372157293764,0.03941372157293764,coefficient,fact_importe_total_lag_2m,73
cat__soporte_canal_principal_app_chat,0.03352806865638647,0.03352806865638647,coefficient,soporte_canal_principal,74
num__missingindicator_red_cobertura_4g_pct_lag_1m,0.02878897017086163,0.02878897017086163,coefficient,red_cobertura_4g_pct_lag_1m,75
num__missingindicator_fact_importe_total_lag_1m,0.02878897017086163,0.02878897017086163,coefficient,fact_importe_total_lag_1m,76
num__missingindicator_fact_cargo_base_lag_1m,0.02878897017086163,0.02878897017086163,coefficient,fact_cargo_base_lag_1m,77
num__missingindicator_fact_stress_calidad_lag_lag_1m,0.02878897017086163,0.02878897017086163,coefficient,fact_stress_calidad_lag_lag_1m,78
num__missingindicator_fact_num_lineas_lag_1m,0.02878897017086163,0.02878897017086163,coefficient,fact_num_lineas_lag_1m,79
num__missingindicator_fact_dias_retraso_pago_lag_1m,0.02878897017086163,0.02878897017086163,coefficient,fact_dias_retraso_pago_lag_1m,80
num__missingindicator_red_indice_calidad_global_lag_1m,0.02878897017086163,0.02878897017086163,coefficient,red_indice_calidad_global_lag_1m,81
cat__soporte_canal_principal_telefono,0.02507823288851344,0.02507823288851344,coefficient,soporte_canal_principal,82
cat__soporte_motivo_principal_Calidad de señal,-0.021502045584790002,0.021502045584790002,coefficient,soporte_motivo_principal,83
