feature_transformed,importance,abs_importance,importance_type,feature_original,rank
num__fact_stress_calidad_lag_lag_2m,-1.560839658604654,1.560839658604654,coefficient,fact_stress_calidad_lag_lag_2m,1
num__fact_stress_calidad_lag_roll_3m,1.505892673078573,1.505892673078573,coefficient,fact_stress_calidad_lag_roll_3m,2
num__fact_dias_retraso_pago_roll_3m,-1.4400530108266898,1.4400530108266898,coefficient,fact_dias_retraso_pago_roll_3m,3
num__fact_importe_total,-1.3204298105487646,1.3204298105487646,coefficient,fact_importe_total,4
num__fact_importe_total_roll_3m,1.1610163348514324,1.1610163348514324,coefficient,fact_importe_total_roll_3m,5
num__fact_dias_retraso_pago_lag_1m,0.8027598257363051,0.8027598257363051,coefficient,fact_dias_retraso_pago_lag_1m,6
num__fact_dias_retraso_pago,0.7963815652223988,0.7963815652223988,coefficient,fact_dias_retraso_pago,7
num__fact_dias_retraso_pago_lag_2m,0.7904502014767393,0.7904502014767393,coefficient,fact_dias_retraso_pago_lag_2m,8
num__red_indice_calidad_global_lag_2m,0.788932231382953,0.788932231382953,coefficient,red_indice_calidad_global_lag_2m,9
cat__soporte_canal_principal_paloma,-0.7414534270534783,0.7414534270534783,coefficient,soporte_canal_principal,10
num__red_indice_calidad_global_lag_3m,-0.6794732087460327,0.6794732087460327,coefficient,red_indice_calidad_global_lag_3m,11
cat__soporte_canal_principal_fax,0.6405789574941916,0.6405789574941916,coefficient,soporte_canal_principal,12
num__fact_impago_flag_roll_3m,0.6124093646315584,0.6124093646315584,coefficient,fact_impago_flag_roll_3m,13
num__fact_num_lineas_lag_1m,-0.5429926497422966,0.5429926497422966,coefficient,fact_num_lineas_lag_1m,14
num__fact_cargo_base_lag_1m,0.5396034064026,0.5396034064026,coefficient,fact_cargo_base_lag_1m,15
num__fact_cargo_base_lag_3m,0.47405479363889763,0.47405479363889763,coefficient,fact_cargo_base_lag_3m,16
num__fact_cargo_base_lag_2m,-0.4686452357428504,0.4686452357428504,coefficient,fact_cargo_base_lag_2m,17
num__fact_descuento_aplicado_roll_3m,-0.3672195193354304,0.3672195193354304,coefficient,fact_descuento_aplicado_roll_3m,18
num__fact_stress_calidad_lag_lag_1m,0.33456241489338245,0.33456241489338245,coefficient,fact_stress_calidad_lag_lag_1m,19
num__red_poblacion_zona_lag_3m,-0.2964449783004024,0.2964449783004024,coefficient,red_poblacion_zona_lag_3m,20
num__fact_impago_flag_lag_2m,-0.29511106506672263,0.29511106506672263,coefficient,fact_impago_flag_lag_2m,21
num__fact_num_lineas_roll_3m,0.2948368594627993,0.2948368594627993,coefficient,fact_num_lineas_roll_3m,22
num__fact_num_lineas,0.2948368594627993,0.2948368594627993,coefficient,fact_num_lineas,23
cat__fact_tipo_plan_Premium,-0.25352569179308565,0.25352569179308565,coefficient,fact_tipo_plan,24
num__missingindicator_fact_importe_total_lag_3m,-0.2516408028277145,0.2516408028277145,coefficient,fact_importe_total_lag_3m,25
num__missingindicator_red_poblacion_zona_lag_3m,-0.2516408028277145,0.2516408028277145,coefficient,red_poblacion_zona_lag_3m,26
num__missingindicator_fact_cargo_base_lag_3m,-0.2516408028277145,0.2516408028277145,coefficient,fact_cargo_base_lag_3m,27
num__missingindicator_red_indice_calidad_global_lag_3m,-0.2516408028277145,0.2516408028277145,coefficient,red_indice_calidad_global_lag_3m,28
num__fact_importe_total_lag_3m,-0.2476504351640457,0.2476504351640457,coefficient,fact_importe_total_lag_3m,29
num__fact_descuento_aplicado_lag_2m,0.2418914917575342,0.2418914917575342,coefficient,fact_descuento_aplicado_lag_2m,30
num__red_poblacion_zona_lag_2m,0.2349491373626889,0.2349491373626889,coefficient,red_poblacion_zona_lag_2m,31
cat__soporte_motivo_principal_Cobertura / velocidad,0.21222908434360746,0.21222908434360746,coefficient,soporte_motivo_principal,32
num__red_indice_calidad_global_roll_3m,-0.20792240373970994,0.20792240373970994,coefficient,red_indice_calidad_global_roll_3m,33
cat__soporte_motivo_principal_Cambio de plan,-0.1972492405754795,0.1972492405754795,coefficient,soporte_motivo_principal,34
cat__fact_tipo_plan_Prepago,0.19657235565261627,0.19657235565261627,coefficient,fact_tipo_plan,35
num__red_indice_calidad_global_lag_1m,0.18161289113765844,0.18161289113765844,coefficient,red_indice_calidad_global_lag_1m,36
num__missingindicator_red_poblacion_zona_lag_2m,0.16565318614415672,0.16565318614415672,coefficient,red_poblacion_zona_lag_2m,37
