feature_transformed,importance,abs_importance,importance_type,feature_original,rank
num__fact_stress_calidad_lag_roll_3m,2.1001540020487397,2.1001540020487397,coefficient,fact_stress_calidad_lag_roll_3m,1
num__fact_dias_retraso_pago_roll_3m,-1.5948870692145942,1.5948870692145942,coefficient,fact_dias_retraso_pago_roll_3m,2
num__fact_dias_retraso_pago_lag_1m,0.8887149186663571,0.8887149186663571,coefficient,fact_dias_retraso_pago_lag_1m,3
num__fact_dias_retraso_pago_lag_2m,0.875804381081748,0.875804381081748,coefficient,fact_dias_retraso_pago_lag_2m,4
num__fact_dias_retraso_pago,0.874866874034471,0.874866874034471,coefficient,fact_dias_retraso_pago,5
num__fact_stress_calidad_lag_lag_2m,-0.8278068463593594,0.8278068463593594,coefficient,fact_stress_calidad_lag_lag_2m,6
num__fact_stress_calidad_lag_lag_1m,-0.7393461201484637,0.7393461201484637,coefficient,fact_stress_calidad_lag_lag_1m,7
cat__soporte_canal_principal_fax,0.6563749014099681,0.6563749014099681,coefficient,soporte_canal_principal,8
num__fact_impago_flag_roll_3m,0.6385128878846836,0.6385128878846836,coefficient,fact_impago_flag_roll_3m,9
cat__soporte_canal_principal_paloma,-0.6240329859160407,0.6240329859160407,coefficient,soporte_canal_principal,10
num__fact_stress_calidad_lag,-0.36225307576531224,0.36225307576531224,coefficient,fact_stress_calidad_lag,11
num__fact_impago_flag_lag_2m,-0.29361842145166495,0.29361842145166495,coefficient,fact_impago_flag_lag_2m,12
num__red_cobertura_5g_pct_lag_2m,-0.2746314533657398,0.2746314533657398,coefficient,red_cobertura_5g_pct_lag_2m,13
cat__fact_tipo_plan_Premium,-0.23884365466394222,0.23884365466394222,coefficient,fact_tipo_plan,14
num__fact_descuento_aplicado_roll_3m,-0.22421711195434116,0.22421711195434116,coefficient,fact_descuento_aplicado_roll_3m,15
num__missingindicator_red_cobertura_4g_pct_lag_1m,0.21771686469844578,0.21771686469844578,coefficient,red_cobertura_4g_pct_lag_1m,16
num__missingindicator_fact_cargo_base_lag_1m,0.21771686469844578,0.21771686469844578,coefficient,fact_cargo_base_lag_1m,17
num__missingindicator_fact_dias_retraso_pago_lag_1m,0.21771686469844578,0.21771686469844578,coefficient,fact_dias_retraso_pago_lag_1m,18
num__missingindicator_fact_stress_calidad_lag_lag_1m,0.21771686469844578,0.21771686469844578,coefficient,fact_stress_calidad_lag_lag_1m,19
