feature_transformed,importance,abs_importance,importance_type,feature_original,rank
num_median__fact_stress_calidad_lag_roll_3m,2.0710447985178515,2.0710447985178515,coefficient,num_median__fact_stress_calidad_lag_roll_3m,1
num_median__fact_dias_retraso_pago_roll_3m,-1.5900028983666985,1.5900028983666985,coefficient,num_median__fact_dias_retraso_pago_roll_3m,2
num_median__fact_dias_retraso_pago_lag_1m,0.8860270251549534,0.8860270251549534,coefficient,num_median__fact_dias_retraso_pago_lag_1m,3
num_median__fact_dias_retraso_pago_lag_2m,0.8732288977723048,0.8732288977723048,coefficient,num_median__fact_dias_retraso_pago_lag_2m,4
num_median__fact_dias_retraso_pago,0.8723201177071246,0.8723201177071246,coefficient,num_median__fact_dias_retraso_pago,5
num_median__fact_stress_calidad_lag_lag_2m,-0.8169113355567219,0.8169113355567219,coefficient,num_median__fact_stress_calidad_lag_lag_2m,6
num_median__fact_stress_calidad_lag_lag_1m,-0.7327693848303473,0.7327693848303473,coefficient,num_median__fact_stress_calidad_lag_lag_1m,7
cat__soporte_canal_principal_fax,0.6603949455213237,0.6603949455213237,coefficient,soporte_canal_principal,8
num_zero__fact_impago_flag_roll_3m,0.6382885327632357,0.6382885327632357,coefficient,num_zero__fact_impago_flag_roll_3m,9
cat__soporte_canal_principal_paloma,-0.6140965756878999,0.6140965756878999,coefficient,soporte_canal_principal,10
num_median__fact_stress_calidad_lag,-0.35116406571480335,0.35116406571480335,coefficient,num_median__fact_stress_calidad_lag,11
num_zero__fact_impago_flag_lag_2m,-0.29350262678284544,0.29350262678284544,coefficient,num_zero__fact_impago_flag_lag_2m,12
num_median__red_cobertura_5g_pct_lag_2m,-0.2769725892225134,0.2769725892225134,coefficient,num_median__red_cobertura_5g_pct_lag_2m,13
cat__fact_tipo_plan_Premium,-0.23458314709862235,0.23458314709862235,coefficient,fact_tipo_plan,14
num_median__fact_descuento_aplicado_roll_3m,-0.22388687705137433,0.22388687705137433,coefficient,num_median__fact_descuento_aplicado_roll_3m,15
num_median__missingindicator_fact_dias_retraso_pago_lag_1m,0.21629688626479732,0.21629688626479732,coefficient,num_median__fact_dias_retraso_pago_lag_1m,16
num_median__missingindicator_fact_cargo_base_lag_1m,0.21629688626479732,0.21629688626479732,coefficient,num_median__fact_cargo_base_lag_1m,17
num_median__missingindicator_red_cobertura_4g_pct_lag_1m,0.21629688626479732,0.21629688626479732,coefficient,num_median__red_cobertura_4g_pct_lag_1m,18
num_median__missingindicator_fact_stress_calidad_lag_lag_1m,0.21629688626479732,0.21629688626479732,coefficient,num_median__fact_stress_calidad_lag_lag_1m,19
num_median__red_cobertura_4g_pct_lag_3m,-0.20172239467486602,0.20172239467486602,coefficient,num_median__red_cobertura_4g_pct_lag_3m,20
cat__soporte_motivo_principal_Cambio de plan,-0.18844030773314654,0.18844030773314654,coefficient,soporte_motivo_principal,21
cat__fact_tipo_plan_Prepago,0.17695442391897917,0.17695442391897917,coefficient,fact_tipo_plan,22
