feature,vif
fact_stress_calidad_lag_roll_3m,198.50932973367412
red_indice_calidad_global_roll_3m,138.41211715777024
fact_stress_calidad_lag,110.17468604818472
red_cobertura_5g_pct_roll_3m,108.1703817243043
red_cobertura_4g_pct_roll_3m,81.11850755764074
red_cobertura_5g_pct_lag_2m,68.78761039449194
red_cobertura_4g_pct_lag_1m,49.87774474914288
red_cobertura_5g_pct_lag_3m,38.461716913881304
fact_dias_retraso_pago_roll_3m,36.408260201746586
fact_cargo_base_lag_1m,31.748146829550215
fact_importe_total_roll_3m,29.80620774029634
fact_stress_calidad_lag_lag_1m,27.284883183102618
red_cobertura_4g_pct_lag_3m,24.54399579270391
fact_stress_calidad_lag_lag_2m,19.44602170894769
red_tasa_cortes_pct_roll_3m,16.14840773624235
fact_dias_retraso_pago,13.93749946728767
red_tasa_cortes_pct_lag_3m,12.612371588790845
fact_dias_retraso_pago_lag_1m,12.309026446408657
fact_dias_retraso_pago_lag_2m,12.148009770673944
fact_descuento_aplicado_lag_2m,9.743588043191904
fact_descuento_aplicado_roll_3m,9.550473494938062
soporte_satisfaccion_min_roll_3m,8.82356637659077
soporte_impago_mes_roll_3m,8.420476521872
soporte_satisfaccion_media_roll_3m,8.06229752841192
soporte_satisfaccion_min,7.573744071110977
soporte_dias_retraso_media_roll_3m,7.3840467132909
soporte_satisfaccion_media,7.361675553185357
soporte_duracion_max_roll_3m,7.047658377299847
soporte_duracion_media_roll_3m,6.399687019955084
fact_impago_flag_roll_3m,2.983065209126404
fact_num_lineas,2.027093741114228
fact_impago_flag_lag_2m,1.8136671933137525
red_incidencia_masiva_lag_2m,1.6364909563295544
red_incidencia_masiva_lag_3m,1.5116396055842094
