feature_a,feature_b,correlation,abs_correlation,above_0_90
fact_num_lineas_roll_3m,fact_num_lineas,1.0,1.0,True
fact_num_lineas_lag_1m,fact_num_lineas,1.0,1.0,True
fact_cargo_base_lag_3m,fact_cargo_base_lag_1m,1.0,1.0,True
fact_cargo_base_lag_2m,fact_cargo_base_lag_3m,1.0,1.0,True
fact_num_lineas_lag_1m,fact_num_lineas_roll_3m,1.0,1.0,True
fact_cargo_base_lag_2m,fact_cargo_base_lag_1m,1.0,1.0,True
red_poblacion_zona_lag_3m,red_poblacion_zona_lag_2m,1.0,1.0,True
fact_importe_total,fact_importe_total_roll_3m,0.9985268627390194,0.9985268627390194,True
fact_importe_total_roll_3m,fact_importe_total_lag_3m,0.9960664632756931,0.9960664632756931,True
red_indice_calidad_global_roll_3m,red_indice_calidad_global_lag_1m,0.9938784948759098,0.9938784948759098,True
red_indice_calidad_global_lag_2m,red_indice_calidad_global_roll_3m,0.9933794130266699,0.9933794130266699,True
fact_importe_total,fact_importe_total_lag_3m,0.9928519830438831,0.9928519830438831,True
red_indice_calidad_global_lag_2m,fact_stress_calidad_lag_lag_1m,-0.9896238264699203,0.9896238264699203,True
fact_stress_calidad_lag_lag_2m,red_indice_calidad_global_lag_3m,-0.9894412354527159,0.9894412354527159,True
red_indice_calidad_global_lag_3m,red_indice_calidad_global_roll_3m,0.9857899796745471,0.9857899796745471,True
fact_importe_total_roll_3m,fact_cargo_base_lag_1m,0.985496266622517,0.985496266622517,True
fact_importe_total_roll_3m,fact_cargo_base_lag_2m,0.9854469673506387,0.9854469673506387,True
fact_importe_total_roll_3m,fact_cargo_base_lag_3m,0.9853873950779758,0.9853873950779758,True
fact_cargo_base_lag_3m,fact_importe_total_lag_3m,0.9841457881443305,0.9841457881443305,True
fact_cargo_base_lag_2m,fact_importe_total_lag_3m,0.9841457881443305,0.9841457881443305,True
fact_cargo_base_lag_1m,fact_importe_total_lag_3m,0.9841457881443305,0.9841457881443305,True
fact_importe_total,fact_cargo_base_lag_1m,0.9841339749051208,0.9841339749051208,True
fact_importe_total,fact_cargo_base_lag_2m,0.9840646656984026,0.9840646656984026,True
fact_importe_total,fact_cargo_base_lag_3m,0.9840156649590188,0.9840156649590188,True
fact_stress_calidad_lag_roll_3m,red_indice_calidad_global_lag_3m,-0.9827260903755572,0.9827260903755572,True
red_indice_calidad_global_lag_2m,red_indice_calidad_global_lag_1m,0.9811052256946713,0.9811052256946713,True
red_indice_calidad_global_lag_2m,red_indice_calidad_global_lag_3m,0.9805118701638909,0.9805118701638909,True
red_indice_calidad_global_lag_3m,red_indice_calidad_global_lag_1m,0.9797194792963227,0.9797194792963227,True
fact_descuento_aplicado_lag_2m,fact_descuento_aplicado_roll_3m,0.9764251907291349,0.9764251907291349,True
red_indice_calidad_global_lag_3m,fact_stress_calidad_lag_lag_1m,-0.9702408119740555,0.9702408119740555,True
fact_stress_calidad_lag_roll_3m,red_indice_calidad_global_lag_2m,-0.9607809784359693,0.9607809784359693,True
fact_stress_calidad_lag_roll_3m,fact_stress_calidad_lag_lag_1m,0.9340943041811273,0.9340943041811273,True
red_indice_calidad_global_roll_3m,red_cobertura_5g_pct_lag_2m,0.9175210501998635,0.9175210501998635,True
fact_stress_calidad_lag_lag_2m,fact_stress_calidad_lag_roll_3m,0.9164025010398089,0.9164025010398089,True
fact_stress_calidad_lag_roll_3m,red_indice_calidad_global_lag_1m,-0.914874806115638,0.914874806115638,True
red_indice_calidad_global_lag_3m,red_cobertura_5g_pct_lag_2m,0.9136021721166289,0.9136021721166289,True
red_indice_calidad_global_lag_2m,red_cobertura_5g_pct_lag_2m,0.9120581115708396,0.9120581115708396,True
red_cobertura_5g_pct_lag_2m,red_indice_calidad_global_lag_1m,0.9109987191307859,0.9109987191307859,True
red_cobertura_5g_pct_lag_2m,fact_stress_calidad_lag_lag_1m,-0.9031121871775482,0.9031121871775482,True
fact_stress_calidad_lag_roll_3m,red_cobertura_5g_pct_lag_2m,-0.874126848240049,0.874126848240049,False
red_indice_calidad_global_roll_3m,fact_stress_calidad_lag_lag_1m,-0.8151603753531341,0.8151603753531341,False
fact_stress_calidad_lag_lag_2m,fact_stress_calidad_lag_lag_1m,0.8028975444359002,0.8028975444359002,False
fact_stress_calidad_lag_lag_1m,red_indice_calidad_global_lag_1m,-0.8021238540174678,0.8021238540174678,False
