feature_a,feature_b,correlation,abs_correlation,above_0_90
red_cobertura_4g_pct_roll_3m,red_cobertura_4g_pct_lag_1m,0.9992843026207837,0.9992843026207837,True
red_cobertura_4g_pct_roll_3m,red_cobertura_4g_pct_lag_3m,0.9964526075185843,0.9964526075185843,True
red_cobertura_4g_pct_lag_1m,red_cobertura_4g_pct_lag_3m,0.9950972851490953,0.9950972851490953,True
red_cobertura_5g_pct_lag_2m,red_cobertura_5g_pct_roll_3m,0.9943685497030038,0.9943685497030038,True
red_cobertura_5g_pct_roll_3m,red_cobertura_5g_pct_lag_3m,0.987982095674381,0.987982095674381,True
fact_importe_total_roll_3m,fact_cargo_base_lag_1m,0.985496266622517,0.985496266622517,True
red_cobertura_5g_pct_lag_2m,red_cobertura_5g_pct_lag_3m,0.9835070085658218,0.9835070085658218,True
fact_descuento_aplicado_roll_3m,fact_descuento_aplicado_lag_2m,0.9764251907291349,0.9764251907291349,True
fact_stress_calidad_lag_roll_3m,fact_stress_calidad_lag,0.9387829189272435,0.9387829189272435,True
fact_stress_calidad_lag_roll_3m,fact_stress_calidad_lag_lag_1m,0.9340943041811273,0.9340943041811273,True
red_cobertura_5g_pct_roll_3m,red_indice_calidad_global_roll_3m,0.9206967205845937,0.9206967205845937,True
red_cobertura_5g_pct_lag_2m,red_indice_calidad_global_roll_3m,0.9175210501998633,0.9175210501998633,True
fact_stress_calidad_lag_lag_2m,fact_stress_calidad_lag_roll_3m,0.9164025010398089,0.9164025010398089,True
red_cobertura_5g_pct_lag_3m,red_indice_calidad_global_roll_3m,0.9163655876366698,0.9163655876366698,True
soporte_impago_mes_roll_3m,soporte_dias_retraso_media_roll_3m,0.9115231488958769,0.9115231488958769,True
red_tasa_cortes_pct_roll_3m,red_tasa_cortes_pct_lag_3m,0.9110937343713524,0.9110937343713524,True
fact_stress_calidad_lag_roll_3m,red_cobertura_5g_pct_lag_3m,-0.9069046280755232,0.9069046280755232,True
red_cobertura_5g_pct_lag_2m,fact_stress_calidad_lag_lag_1m,-0.9031121871775482,0.9031121871775482,True
red_cobertura_5g_pct_lag_2m,fact_stress_calidad_lag,-0.9020529826416728,0.9020529826416728,True
red_cobertura_5g_pct_lag_3m,fact_stress_calidad_lag,-0.9020126637074793,0.9020126637074793,True
fact_stress_calidad_lag_lag_2m,red_cobertura_5g_pct_lag_3m,-0.9005064789903127,0.9005064789903127,True
fact_stress_calidad_lag_lag_1m,red_cobertura_5g_pct_lag_3m,-0.900342386522288,0.900342386522288,True
soporte_satisfaccion_min_roll_3m,soporte_satisfaccion_media_roll_3m,0.8792780983243044,0.8792780983243044,False
soporte_satisfaccion_min,soporte_satisfaccion_media,0.879158929898471,0.879158929898471,False
soporte_duracion_max_roll_3m,soporte_duracion_media_roll_3m,0.8742908704875739,0.8742908704875739,False
fact_stress_calidad_lag_roll_3m,red_cobertura_5g_pct_lag_2m,-0.874126848240049,0.874126848240049,False
