model,split,roc_auc,pr_auc,accuracy,precision,recall,f1,confusion_matrix
dummy_mayoritaria,train,0.5,0.006575446598251615,0.9934245534017484,0.0,0.0,0.0,"[[52274, 0], [346, 0]]"
dummy_mayoritaria,cv_mean,0.5,0.006575446598251616,,0.0,0.0,0.0,
dummy_mayoritaria,test_temporal,0.5,0.005154639175257732,0.9948453608247423,0.0,0.0,0.0,"[[48636, 0], [252, 0]]"
logistic_regression,train,0.8344821451042428,0.024912303296306056,0.7391296085138731,0.01918792669780812,0.7716763005780347,0.037444779468480474,"[[38626, 13648], [79, 267]]"
logistic_regression,cv_mean,0.6325336594044834,0.01306528001424886,,0.011729628841502408,0.421864067966017,0.02282459773995178,
logistic_regression,test_temporal,0.650470958869059,0.0125439095120073,0.7615570283096056,0.009040034438226431,0.4166666666666667,0.017696132131119913,"[[37126, 11510], [147, 105]]"
random_forest,train,0.9981474891860386,0.8788720669740157,0.9967882934245534,0.7229219143576826,0.8294797687861272,0.7725437415881562,"[[52164, 110], [59, 287]]"
random_forest,cv_mean,0.6348037141270241,0.012362595189473543,,0.019047619047619046,0.005747126436781609,0.008830022075055188,
random_forest,test_temporal,0.6294792576404963,0.011951766553622107,0.9945999018163967,0.0,0.0,0.0,"[[48624, 12], [252, 0]]"
xgboost,train,0.9674486990625873,0.33553038825495185,0.8861269479285443,0.05147759771210677,0.9364161849710982,0.09759036144578313,"[[46304, 5970], [22, 324]]"
xgboost,cv_mean,0.6270883882845839,0.012904178950432924,,0.014344404941757904,0.18778110944527734,0.02664655469656922,
xgboost,test_temporal,0.6326003943123978,0.012077806136190635,0.9184257895598101,0.015308770108977686,0.23412698412698413,0.028738431563565512,"[[44841, 3795], [193, 59]]"
