threshold,contacted,contacted_rate,captured_churners,capture_rate,precision,recall,f1,tp,fp,tn,fn
0.05,48888,1.0,252,1.0,0.005154639175257732,1.0,0.010256410256410256,252,48636,0,0
0.06,48888,1.0,252,1.0,0.005154639175257732,1.0,0.010256410256410256,252,48636,0,0
0.07,48887,0.9999795450826379,252,1.0,0.005154744615132857,1.0,0.010256618978815198,252,48635,1,0
0.08,48887,0.9999795450826379,252,1.0,0.005154744615132857,1.0,0.010256618978815198,252,48635,1,0
0.09,48885,0.9999386352479136,252,1.0,0.005154955507824486,1.0,0.010257036449111667,252,48633,3,0
0.1,48882,0.9998772704958272,252,1.0,0.005155271879219344,1.0,0.01025766271828062,252,48630,6,0
0.11,48878,0.9997954508263787,252,1.0,0.005155693768157453,1.0,0.010258497862812944,252,48626,10,0
0.12,48867,0.9995704467353952,252,1.0,0.005156854318865492,1.0,0.0102607952116289,252,48615,21,0
0.13,48838,0.9989772541318933,252,1.0,0.005159916458495434,1.0,0.010266856793644327,252,48586,50,0
0.14,48786,0.9979135984290624,252,1.0,0.0051654163079572005,1.0,0.010277743790529792,252,48534,102,0
0.15,48689,0.9959294714449354,252,1.0,0.005175707038550802,1.0,0.010298114055699721,252,48437,199,0
0.16,48504,0.9921453117329406,252,1.0,0.005195447798119743,1.0,0.010337189269013045,252,48252,384,0
0.17,48131,0.9845156275568647,251,0.996031746031746,0.0052149342419646385,0.996031746031746,0.01037554512948763,251,47880,756,1
0.18,47596,0.973572246768123,250,0.9920634920634921,0.005252542230439533,0.9920634920634921,0.010449757565624477,250,47346,1290,2
0.19,46754,0.9563492063492064,248,0.9841269841269841,0.005304358985327459,0.9841269841269841,0.01055184444538995,248,46506,2130,4
0.2,45639,0.9335419734904271,245,0.9722222222222222,0.005368215780363286,0.9722222222222222,0.010677474886143252,245,45394,3242,7
0.21,44216,0.9044346260841106,242,0.9603174603174603,0.005473131897955491,0.9603174603174603,0.010884231357380588,242,43974,4662,10
0.22,42590,0.871174930453281,241,0.9563492063492064,0.005658605306409955,0.9563492063492064,0.011250641893469027,241,42349,6287,11
0.23,40777,0.8340901652757323,236,0.9365079365079365,0.0057875763297937565,0.9365079365079365,0.011504058105242635,236,40541,8095,16
0.24,38860,0.7948780886925216,231,0.9166666666666666,0.005944415851775605,0.9166666666666666,0.011812231540192269,231,38629,10007,21
0.25,36990,0.7566273932253313,223,0.8849206349206349,0.006028656393619897,0.8849206349206349,0.011975726330487085,223,36767,11869,29
0.26,35138,0.7187448862706595,219,0.8690476190476191,0.006232568729011327,0.8690476190476191,0.012376377507770557,219,34919,13717,33
0.27,33422,0.6836442480772378,216,0.8571428571428571,0.0064628089282508525,0.8571428571428571,0.012828888756904435,216,33206,15430,36
0.28,31720,0.648829978726886,212,0.8412698412698413,0.006683480453972258,0.8412698412698413,0.013261603903415489,212,31508,17128,40
0.29,30146,0.6166339387988873,208,0.8253968253968254,0.006899754527963909,0.8253968253968254,0.013685110862556747,208,29938,18698,44
0.3,28649,0.5860129275077729,203,0.8055555555555556,0.007085762155747147,0.8055555555555556,0.01404795681810318,203,28446,20190,49
0.31,27170,0.5557601047291769,197,0.7817460317460317,0.007250644092749356,0.7817460317460317,0.014368025672817445,197,26973,21663,55
0.32,25770,0.5271232204221895,193,0.7658730158730159,0.007489328676755918,0.7658730158730159,0.014833602336484515,193,25577,23059,59
0.33,24435,0.4998159057437408,192,0.7619047619047619,0.007857581338244322,0.7619047619047619,0.015554745412565319,192,24243,24393,60
0.34,23203,0.47461544755359186,191,0.7579365079365079,0.00823169417747705,0.7579365079365079,0.016286506075463652,191,23012,25624,61
0.35,22022,0.4504581901489118,185,0.7341269841269841,0.008400690218872037,0.7341269841269841,0.016611295681063124,185,21837,26799,67
0.36,20827,0.4260145639011618,181,0.7182539682539683,0.008690641955154368,0.7182539682539683,0.017173490203520093,181,20646,27990,71
0.37,19705,0.40306414662084766,175,0.6944444444444444,0.008880994671403197,0.6944444444444444,0.017537706068046298,175,19530,29106,77
0.38,18685,0.3822001309114711,168,0.6666666666666666,0.00899116938720899,0.6666666666666666,0.017743042720599882,168,18517,30119,84
0.39,17675,0.3615406643757159,163,0.6468253968253969,0.009222065063649223,0.6468253968253969,0.018184860824454734,163,17512,31124,89
0.4,16708,0.3417607592865325,160,0.6349206349206349,0.009576250897773522,0.6349206349206349,0.01886792452830189,160,16548,32088,92
0.41,15872,0.3246604483717886,158,0.626984126984127,0.009954637096774193,0.626984126984127,0.019598114611758866,158,15714,32922,94
0.42,15122,0.3093192603501882,155,0.6150793650793651,0.01024996693559053,0.6150793650793651,0.020163913100039024,155,14967,33669,97
0.43,14392,0.2943871706758305,152,0.6031746031746031,0.010561423012784881,0.6031746031746031,0.020759355367385966,152,14240,34396,100
0.44,13748,0.28121420389461627,149,0.5912698412698413,0.01083794006400931,0.5912698412698413,0.021285714285714286,149,13599,35037,103
0.45,13127,0.26851170021273113,146,0.5793650793650794,0.01112211472537518,0.5793650793650794,0.021825248523805966,146,12981,35655,106
0.46,12507,0.25582965144820813,146,0.5793650793650794,0.011673462860797953,0.5793650793650794,0.022885806097656555,146,12361,36275,106
0.47,11847,0.2423294059891998,143,0.5674603174603174,0.012070566388115135,0.5674603174603174,0.02363831721629887,143,11704,36932,109
0.48,11213,0.22936098838160693,137,0.5436507936507936,0.012217961294925533,0.5436507936507936,0.023898822503270824,137,11076,37560,115
0.49,10538,0.2155539191621666,132,0.5238095238095238,0.012526096033402923,0.5238095238095238,0.024467099165894346,132,10406,38230,120
0.5,9944,0.20340369824905907,128,0.5079365079365079,0.012872083668543845,0.5079365079365079,0.025107885445272655,128,9816,38820,124
0.51,9309,0.19041482572410406,127,0.503968253968254,0.013642711354603073,0.503968253968254,0.026566258759543982,127,9182,39454,125
0.52,8754,0.1790623465881198,125,0.49603174603174605,0.014279186657527988,0.49603174603174605,0.027759271596713302,125,8629,40007,127
0.53,8157,0.16685076092292586,123,0.4880952380952381,0.015079073188672305,0.4880952380952381,0.02925437031751694,123,8034,40602,129
0.54,7619,0.15584601538209786,118,0.46825396825396826,0.015487596797479984,0.46825396825396826,0.02998348367424724,118,7501,41135,134
0.55,7092,0.14506627393225333,116,0.4603174603174603,0.016356457980823462,0.4603174603174603,0.031590413943355114,116,6976,41660,136
0.56,6605,0.13510472917689412,113,0.44841269841269843,0.017108251324753975,0.44841269841269843,0.03295901997958291,113,6492,42144,139
0.57,6113,0.12504090983472427,108,0.42857142857142855,0.017667266481269425,0.42857142857142855,0.03393558523173605,108,6005,42631,144
0.58,5702,0.11663393879888725,103,0.4087301587301587,0.01806383725008769,0.4087301587301587,0.03459858918374202,103,5599,43037,149
0.59,5281,0.1080224185894289,99,0.39285714285714285,0.018746449536072712,0.39285714285714285,0.03578528827037773,99,5182,43454,153
0.6,4918,0.10059728358697431,95,0.376984126984127,0.01931679544530297,0.376984126984127,0.0367504835589942,95,4823,43813,157
0.61,4584,0.0937653411880216,92,0.36507936507936506,0.02006980802792321,0.36507936507936506,0.0380479735318445,92,4492,44144,160
0.62,4265,0.0872402225495009,84,0.3333333333333333,0.01969519343493552,0.3333333333333333,0.03719282709763117,84,4181,44455,168
0.63,3913,0.08004009163802978,83,0.32936507936507936,0.021211346792742142,0.32936507936507936,0.03985594237695079,83,3830,44806,169
0.64,3582,0.07326951399116348,80,0.31746031746031744,0.02233389168062535,0.31746031746031744,0.041731872717788214,80,3502,45134,172
0.65,3285,0.06719440353460972,77,0.3055555555555556,0.023439878234398782,0.3055555555555556,0.04353972292903591,77,3208,45428,175
0.66,3007,0.061507936507936505,76,0.30158730158730157,0.02527435982707017,0.30158730158730157,0.046640073642221544,76,2931,45705,176
0.67,2742,0.05608738340697104,71,0.28174603174603174,0.025893508388037927,0.28174603174603174,0.04742818971275885,71,2671,45965,181
0.68,2503,0.05119865815742104,68,0.2698412698412698,0.027167399121054734,0.2698412698412698,0.04936479128856624,68,2435,46201,184
0.69,2291,0.046862215676648666,65,0.25793650793650796,0.028371890004364905,0.25793650793650796,0.051120723554856466,65,2226,46410,187
0.7,2076,0.04246440844378989,63,0.25,0.030346820809248554,0.25,0.05412371134020618,63,2013,46623,189
0.71,1866,0.03816887579774178,57,0.2261904761904762,0.03054662379421222,0.2261904761904762,0.053824362606232294,57,1809,46827,195
0.72,1700,0.03477335951562756,55,0.21825396825396826,0.03235294117647059,0.21825396825396826,0.05635245901639345,55,1645,46991,197
0.73,1548,0.03166421207658321,54,0.21428571428571427,0.03488372093023256,0.21428571428571427,0.06,54,1494,47142,198
0.74,1394,0.028514154802814596,48,0.19047619047619047,0.03443328550932568,0.19047619047619047,0.0583232077764277,48,1346,47290,204
0.75,1258,0.02573228604156439,45,0.17857142857142858,0.03577106518282989,0.17857142857142858,0.059602649006622516,45,1213,47423,207
0.76,1120,0.022909507445589918,43,0.17063492063492064,0.038392857142857145,0.17063492063492064,0.06268221574344024,43,1077,47559,209
0.77,977,0.019984454262804777,39,0.15476190476190477,0.03991811668372569,0.15476190476190477,0.06346623270951994,39,938,47698,213
0.78,843,0.017243495336278843,36,0.14285714285714285,0.042704626334519574,0.14285714285714285,0.06575342465753425,36,807,47829,216
0.79,716,0.014645720831287842,28,0.1111111111111111,0.03910614525139665,0.1111111111111111,0.05785123966942148,28,688,47948,224
0.8,597,0.012211585665193913,24,0.09523809523809523,0.04020100502512563,0.09523809523809523,0.05653710247349823,24,573,48063,228
0.81,490,0.01002290950744559,22,0.0873015873015873,0.044897959183673466,0.0873015873015873,0.059299191374663066,22,468,48168,230
0.82,399,0.00816151202749141,21,0.08333333333333333,0.05263157894736842,0.08333333333333333,0.06451612903225808,21,378,48258,231
