feature_original,abs_importance,max_abs_importance,n_transformed_features,rank
fact_stress_calidad_lag_lag_2m,1.6121568650973577,1.4810141147681402,2,1
soporte_canal_principal,1.5296350745746765,0.7243008110372116,7,2
fact_stress_calidad_lag_roll_3m,1.432337465351334,1.432337465351334,1,3
fact_dias_retraso_pago_roll_3m,1.427239321339671,1.427239321339671,1,4
fact_importe_total,1.3572193972704796,1.3572193972704796,1,5
fact_importe_total_roll_3m,1.1272098710609313,1.1272098710609313,1,6
red_indice_calidad_global_lag_2m,1.06622847435047,0.9350857240212523,2,7
fact_dias_retraso_pago_lag_2m,0.9157466038160066,0.784603853486789,2,8
fact_dias_retraso_pago_lag_1m,0.8237082721527119,0.7949193019818502,2,9
fact_dias_retraso_pago,0.7827518917073801,0.7827518917073801,1,10
soporte_motivo_principal,0.7698110955924018,0.19405292230622725,8,11
red_indice_calidad_global_lag_3m,0.7655030588801756,0.6394901344214855,2,12
fact_cargo_base_lag_2m,0.6644704144701186,0.5333276641409009,2,13
fact_impago_flag_roll_3m,0.6394120239571404,0.6394120239571404,1,14
fact_cargo_base_lag_3m,0.622808918028058,0.49679599356936804,2,15
fact_num_lineas_lag_1m,0.5868944372425683,0.5581054670717066,2,16
fact_cargo_base_lag_1m,0.561869757164235,0.5330807869933734,2,17
red_indice_calidad_global_roll_3m,0.5463987948833365,0.5463987948833365,1,18
red_cobertura_5g_pct_lag_2m,0.5038712962258423,0.3727285458966247,2,19
red_poblacion_zona_lag_3m,0.45112308157228465,0.3251101571135946,2,20
fact_tipo_plan,0.43863051452594765,0.24245806970957817,3,21
fact_impago_flag_lag_2m,0.4258190684694595,0.29467631814024187,2,22
red_poblacion_zona_lag_2m,0.40796686098826307,0.27682411065904544,2,23
fact_importe_total_lag_3m,0.3948374327840236,0.2688245083253336,2,24
fact_stress_calidad_lag_lag_1m,0.3938950956340178,0.3651061254631562,2,25
fact_descuento_aplicado_lag_2m,0.3737016799388134,0.24255892960959582,2,26
fact_descuento_aplicado_roll_3m,0.3616940935651887,0.3616940935651887,1,27
red_indice_calidad_global_lag_1m,0.3197022541350569,0.29091328396419525,2,28
fact_num_lineas_roll_3m,0.304755693833257,0.304755693833257,1,29
fact_num_lineas,0.304755693833257,0.304755693833257,1,30
