feature_original,abs_importance,max_abs_importance,n_transformed_features,rank
fact_zona_id,22.444853747136147,1.5712458141592633,30,1
zona_id,14.187824007621842,1.348160693567641,30,2
soporte_canal_principal,1.6981979957395361,0.9016390704406021,7,3
tipo_zona,1.4054220904943602,0.6397334799187538,3,4
red_tipo_zona,1.3518373272022521,0.5064683968990568,6,5
fact_stress_calidad_lag_lag_2m,1.2427155419017704,1.1882522916413294,2,6
region,1.0545275502580105,0.4053614063010187,5,7
red_region,1.0545275502580105,0.4053614063010187,5,8
fact_importe_total_lag_1m,1.0059307154491035,0.994918526967898,2,9
fact_importe_total,0.9742638161209127,0.9742638161209127,1,10
fact_cargo_base_lag_2m,0.9691835758568368,0.9147203255963959,2,11
fact_stress_calidad_lag_roll_3m,0.9370170010176766,0.9370170010176766,1,12
red_indice_calidad_global_lag_2m,0.8586631688670641,0.8041999186066232,2,13
red_cobertura_5g_pct_lag_2m,0.782220729246857,0.7277574789864162,2,14
soporte_motivo_principal,0.7156454555042785,0.21773894018657644,8,15
fact_dias_retraso_pago_roll_3m,0.7096335625149475,0.7096335625149475,1,16
fact_importe_total_lag_3m,0.6711678844800694,0.6308691967499853,2,17
estado_civil,0.5974573268598147,0.23575109810151185,4,18
red_poblacion_zona_lag_2m,0.5663985620929881,0.5119353118325471,2,19
fact_num_lineas_lag_1m,0.5449469186430403,0.5339347301618348,2,20
fact_cargo_base_lag_3m,0.519828400496423,0.47952971276633893,2,21
red_cobertura_5g_pct_roll_3m,0.5124181230716061,0.5124181230716061,1,22
fact_stress_calidad_lag_lag_1m,0.5103290884871253,0.4993169000059198,2,23
fact_importe_total_roll_3m,0.5048549988882749,0.5048549988882749,1,24
red_indice_calidad_global_lag_3m,0.4930778600537338,0.45277917232364967,2,25
red_cobertura_4g_pct_roll_3m,0.48353952647767395,0.48353952647767395,1,26
fact_impago_flag_roll_3m,0.48089565681700547,0.48089565681700547,1,27
soporte_satisfaccion_min_roll_3m,0.47287330844595354,0.4607875027731889,2,28
red_cobertura_5g_pct_lag_3m,0.45915012601795413,0.41885143828787,2,29
soporte_impago_mes_roll_3m,0.4570102095821553,0.4570102095821553,1,30
fact_dias_retraso_pago_lag_2m,0.4539636664780523,0.3995004162176114,2,31
red_poblacion_zona_lag_3m,0.44995122767536283,0.4096525399452787,2,32
soporte_satisfaccion_media_roll_3m,0.43890644371779164,0.426820638045027,2,33
red_tasa_cortes_pct_roll_3m,0.42691269047946084,0.42691269047946084,1,34
fact_dias_retraso_pago_lag_1m,0.41624144841649374,0.4052292599352882,2,35
red_indice_calidad_global_lag_1m,0.392984415905133,0.38197222742392745,2,36
fact_cargo_base_lag_1m,0.3789613698908387,0.3679491814096331,2,37
fact_importe_total_lag_2m,0.37775669154270947,0.32329344128226856,2,38
fact_dias_retraso_pago,0.370981014588751,0.370981014588751,1,39
soporte_dias_retraso_media_roll_3m,0.36227948387547065,0.350193678202706,2,40
soporte_satisfaccion_min,0.3565838810852083,0.34449807541244365,2,41
red_poblacion_zona_lag_1m,0.3536753789747916,0.34266319049358607,2,42
red_velocidad_media_mbps_roll_3m,0.34970364027890444,0.34970364027890444,1,43
antiguedad_meses,0.34092747106027343,0.34092747106027343,1,44
red_incidencia_masiva_lag_2m,0.33770186374965094,0.28323861348921003,2,45
red_incidencia_masiva_lag_3m,0.3278696702366709,0.2875709825065868,2,46
red_cobertura_5g_pct,0.3259497723943112,0.3259497723943112,1,47
fact_stress_calidad_lag,0.31965760839675383,0.31965760839675383,1,48
poblacion_zona,0.3098341136263843,0.3098341136263843,1,49
red_poblacion_zona,0.3098341136263843,0.3098341136263843,1,50
