feature_original,abs_importance,max_abs_importance,n_transformed_features,rank
soporte_canal_principal,1.562637369191513,0.7552915030175753,7,1
fact_stress_calidad_lag_lag_2m,1.369880412276251,1.3117530254217888,2,2
fact_importe_total_lag_1m,1.011018548374164,1.0043040477088878,2,3
fact_cargo_base_lag_2m,0.9792947405599748,0.9211673537055127,2,4
fact_importe_total,0.905390572485713,0.905390572485713,1,5
red_indice_calidad_global_lag_2m,0.8879424171978969,0.8298150303434348,2,6
soporte_motivo_principal,0.7909296290181052,0.21691227121908047,8,7
red_indice_calidad_global_lag_3m,0.7430348844315336,0.695535479871538,2,8
fact_stress_calidad_lag_roll_3m,0.7272120930478296,0.7272120930478296,1,9
fact_dias_retraso_pago_roll_3m,0.7101813268391856,0.7101813268391856,1,10
red_cobertura_5g_pct_lag_2m,0.6880615574896191,0.629934170635157,2,11
fact_stress_calidad_lag_lag_1m,0.5940420316274811,0.5873275309622049,2,12
red_poblacion_zona_lag_2m,0.5847327056020813,0.5266053187476193,2,13
fact_num_lineas_lag_1m,0.5551791834483267,0.5484646827830505,2,14
fact_importe_total_roll_3m,0.5471729884090877,0.5471729884090877,1,15
fact_importe_total_lag_3m,0.4696128323506958,0.42211342779070016,2,16
fact_impago_flag_roll_3m,0.4619602999536458,0.4619602999536458,1,17
red_cobertura_5g_pct_roll_3m,0.4569665800727658,0.4569665800727658,1,18
fact_dias_retraso_pago_lag_2m,0.455693952294092,0.3975665654396299,2,19
red_cobertura_5g_pct_lag_3m,0.4460608960622664,0.39856149150227077,2,20
soporte_satisfaccion_min_roll_3m,0.4457660324964369,0.4346622984574216,2,21
fact_tipo_plan,0.4272283258778249,0.24454170183446405,3,22
fact_descuento_aplicado_roll_3m,0.4229650500667095,0.4229650500667095,1,23
red_poblacion_zona_lag_3m,0.42232916064744713,0.3748297560874515,2,24
soporte_satisfaccion_media_roll_3m,0.4126414656044308,0.4015377315654155,2,25
fact_dias_retraso_pago_lag_1m,0.4012063069147001,0.39449180624942387,2,26
soporte_impago_mes_roll_3m,0.3939917646349221,0.3939917646349221,1,27
fact_dias_retraso_pago,0.3748272938738001,0.3748272938738001,1,28
red_cobertura_4g_pct_roll_3m,0.36735194388114173,0.36735194388114173,1,29
fact_cargo_base_lag_1m,0.35987328638493715,0.3531587857196609,2,30
fact_importe_total_lag_2m,0.3588278776909737,0.3007004908365116,2,31
red_cobertura_4g_pct_lag_1m,0.35065159193420953,0.3439370912689333,2,32
soporte_satisfaccion_min,0.3494874413586898,0.3383837073196745,2,33
red_cobertura_4g_pct_lag_3m,0.33289814261995165,0.285398738059956,2,34
fact_descuento_aplicado_lag_2m,0.3318392730277902,0.27371188617332814,2,35
soporte_dias_retraso_media_roll_3m,0.3268718432514703,0.31576810921245496,2,36
